en,gu,translated
Stunted Assessment Parameters,સ્ટંટીંગ નક્કી કરવા માટેના માપદંડો ,Criteria for determination of Stunting
Wasted Assessment Parameters,વેસ્ટીંગ નક્કી કરવા માટેના માપદંડો,Norms for determination of vesting
Underweight Assessment Parameters,ઓછા વજનવાળા બાળકો નક્કી કરવા માટેના માપદંડો,Criteria for determining underweight children
Manuals,માર્ગદર્શિકાઓ,The guides
Poshan Tracker Process Flow,પોષણ ટ્રેકર પ્રક્રિયા પ્રવાહ,Nutrition Tracker Process Stream
Circulars/Notifications,પરિપત્રો/સૂચનો,Circulars / Instructions
Clarification regarding Cost of Smart phones,સ્માર્ટ ફોનની કિંમત અંગે સ્પષ્ટતા,Clarification on price of Smartphone
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,પોષણ ટ્રેકરમાં આંગણવાડી સેવાઓને લગતી યોજનાઓના ડેટા અપલોડ કરવો,Uploading of scheme data related to Anganwadi Services in POSHAN tracker
Data Plan for Mobile Application,મોબાઇલ એપ્લિકેશન માટે ડેટા પ્લાન,Data plan for mobile application
Specifications of Smart phone and Technical Compatibility Testing,સ્માર્ટ ફોનના સ્પેસિફિકેશન અને ટેકનિકલ સુસંગતતા પરીક્ષણ,Specification and technical compatibility testing of smart phones
Training on ICT Platform under POSHAN Abhiyaan,પોષણ અભિયાન હેઠળ ICT પ્લેટફોર્મ પર તાલીમ,Training on ICT Platforms under POSHAN Abhiyaan
New Poshan Tracker App - CSC-SPV Nodal Person,નવી પોષણ ટ્રેકર એપ - CSC-SPV નોડલ પર્સન,New POSHAN Tracker App - CSC - SPV Nodal Person
New Poshan Tracker App,નવી પોષણ ટ્રેકર એપ,New POSHAN Tracker App
Birth,જન્મ,Date of birth
Bacillus Calmette Guerin (BCG),બેસિલસ કેલ્મેટ ગ્યુરીન (BCG),Bacillus Calmett Guerin (BCG)
Oral Polio Vaccine (OPV)-0 dose ,ઓરલ પોલિયો રસી (OPV)-0 ડોઝ ,Oral Polio Vaccine (OPV) - 0 dose
Hepatitis B birth dose OPV-1 T,હેપેટાઇટિસ બી જન્મ માત્રા OPV-1 T,Hepatitis B Birth Rate OPV-1 T
6 ,6 ,6% 1%
Weeks,અઠવાડિયા,of the week
OPV-1,OPV-1,OPV-1
Pentavalent-1,પેન્ટાવેલેન્ટ-1,Drawn- 1
Rotavirus Vaccine (RVV)-1,રોટાવાયરસ રસી (RVV)-1,Rotavirus vaccine (RVV) - 1
Fractional dose of Inactivated Polio Vaccine (fIPV)-1,નિષ્ક્રિય પોલિયો રસી (fIPV)-1 ની અપૂર્ણાંક માત્રા,Inactivated Polio Vaccine (FIPV) 1
Pneumococcal Conjugate Vaccine (PCV) -1,ન્યુમોકોકલ કોન્જુગેટ વેક્સિન (PCV)-1,Pneumococcal Conjugate Vaccine (PCV) -1
OPV-2,OPV-2,OPV-2
Pentavalent-2,પેન્ટાવેલેન્ટ-2,Drawn- 2
RVV-2,RVV-2,RVV-2
14 ,14 ,14 The Bibles Viewpoint
OPV-3,OPV-3,OPV-3
Pentavalent-3,પેન્ટાવેલેન્ટ-3,Drawn- 3
RVV-3,RVV-3,RVV-3
9 - 12 ,9 - 12 ,9-12 per cent
Months,મહિનાઓ,months (s)
Measles Containing vaccine (MCV)/Measles & Rubella (MR)-1,ઓરી ધરાવતી રસી (MCV)/ઓરી અને રૂબેલા (MR)-1,Vaccine with Ori (MCV) / Ori and Rubella (MR) -1
Japanese Encephalitis(JE)-1**,જાપાનીઝ એન્સેફાલીટીસ (JE)-1**,Japanese Encephalitis (JE) -1 *
PCV-Booster,PCV-બૂસ્ટર,PCV-Booster
16 - 24 ,16 - 24 ,16-24
Measles Containing vaccine (MCV)/MR-2,ઓરી ધરાવતી રસી (MCV)/MR-2,Vaccine containing measles (MCV) / MR-2
Diphtheria,ડિપ્થેરિયા,"(For fully formatted text, see publication)"
Pertussis & Tetanus (DPT)-Booster-1,પેર્ટુસિસ એન્ડ ટેટેનસ (ડીપીટી)-બૂસ્ટર-1,Pertussis and Tetanus (DPT) - booster 1
OPV –Booster,OPV - બૂસ્ટર,OPV-Booster
5 - 6 ,5 - 6 ,5-6%
Years,વર્ષ,Year (s)
DPT-Booster-2,ડીપીટી-બૂસ્ટર-2,DPT-Booster-2
"Td1, 2 or Td Booster***","Td1, 2 અથવા Td બૂસ્ટર***","Td1, 2 or Td Booster *"
Select State,સ્થિતિ પસંદ કરો,Select Status
Select District,જિલ્લો પસંદ કરો,Select a region
-,-,A few days ago...
Login to your account,તમારા અકાઉન્ટમાં લોગઈન,Log-in to your account
User Name ,યુઝર નેમ ,User Name
Password ,પાસવર્ડ ,Password Hint
Login,લોગઈન,% s Login% s
OPEN A NEW TICKET,નવી ટિકિટ ખોલો,Open new tab
CHECK TICKET STATUS,ટિકિટની સ્થિતિ તપાસો,Check ticket status
Create a New Ticket,નવી ટિકિટ બનાવો,Get a new ticket
Please fill in the form below to create a new ticket. Anganwadi Worker will reach out to you within 48 hours..,નવી ટિકિટ બનાવવા માટે કૃપા કરીને નીચેનું ફોર્મ ભરો. આંગણવાડી કાર્યકર 48 કલાકની અંદર તમારો સંપર્ક કરશે..,Please fill up the following form for making the new ticket: Anganwadi worker will contact you within 48 hours.
Beneficiary Category ,લાભાર્થી શ્રેણી ,Beneficiary Category
Select a Beneficiary Category,બેનિફિશિયરી કેટેગરી પસંદ કરો,Select the benefit category
Children (0-6 months),બાળકો (0-6 મહિના),Children (0-6 months)
Children (6 months - 3 years),બાળકો (6 મહિના-3 વર્ષ),Children (6 months - 3 years)
Children (3 - 6 years),બાળકો (3-6 વર્ષ),Children (3-6 years)
Query Related to ,થી સંબંધિત પ્રશ્ન ,A question related to
Select Query Related to,સાથે સંબંધિત ક્વેરીની પસંદગી કરો,Select the relevant query
Supervisor,નિરીક્ષક,The Observer
Help Topic ,મદદ વિષય ,Help contents
Description ,વર્ણન ,The description...
Select a Description,વર્ણનની પસંદગી કરો,Select Description
Name ,નામ ,New name:
Mobile Number ,મોબાઇલ નંબર ,Mobile number
