en,mr,translated
Hepatitis B birth dose OPV-1 T,हिपॅटायटीस बी जन्म डोस ओपीव्ही-1 टी,Hepatitis B Born Dose OPV - 1T
6 ,6 ,6% 1%
Weeks,आठवडे,week (s)
OPV-1,ओपीव्ही-1,OPV-1
Pentavalent-1,पेंटावॅलेंट-1,Drawn- 1
Rotavirus Vaccine (RVV)-1,रोटाव्हायरस व्हॅक्सिन (आरव्हीव्ही)-1,Rotavirus vaccine (RVV) - 1
Fractional dose of Inactivated Polio Vaccine (fIPV)-1,फ्रॅक्शनल डोस ऑफ इनॅक्टिवेटेड पोलिओ व्हॅक्सिन (एफएलपीव्ही)-1,Fractional Dose of Inactivated Polio Vaccine (FLPV) - 1
Pneumococcal Conjugate Vaccine (PCV) -1,न्यूमोकोकल काॅन्जुगेट व्हॅक्सिन (पीसीव्ही)-1,Pneumococcal Conjugate Vaccine (PCV) - 1
OPV-2,ओपीव्ही-2,OPV-2
Pentavalent-2,पेंटावॅलेंट-2,Drawn- 2
RVV-2,आरव्हीव्ही-2,RVV-2
14 ,14 ,I Am Willing to Go 14
OPV-3,ओपीव्ही-3,OPS-3
Pentavalent-3,पेंटावॅलेंट-3,Drawn- 3
fIPV-2T,एफएलपीव्ही-2टी,FLPV-2T
RVV-3,आरव्हीव्ही-3,RVV-3
PCV-2,पीसीव्ही-2,PCV-2
9 - 12 ,9 - 12 ,9-12 yrs
Months,महिने,month (s)
Measles Containing vaccine (MCV)/Measles & Rubella (MR)-1,गोवर (एमसीव्ही)/गोवर आणि रुबेला (एमआर)-1,Gower (MCV) / Gower and Rubella (MR) -1
Japanese Encephalitis(JE)-1**,जापनीज एन्सेफलायटीस (जेई)-1**,Japanese Encephalitis (JE) -1 *
PCV-Booster,पीसीव्ही-बूस्टर,PCV-Booster
16 - 24 ,16 - 24 ,16-24
Measles Containing vaccine (MCV)/MR-2,गोवर (एमसीव्ही)/एमआर-2,Gower (MCV) / MR-2
JE-2**,जेई-2**,JE-2 *
Diphtheria,घटसर्प,The Floss
Pertussis & Tetanus (DPT)-Booster-1,पेर्ट्युसिस आणि टिटॅनस (डीपीटी)-बूस्टर-1,Pertussis and Tetanus (DPT) - booster 1
OPV –Booster,ओपीव्ही - बूस्टर,OPV Booster
5 - 6 ,5 - 6 ,5-6 onwards
Years,वर्षे,Year (s)
DPT-Booster-2,डीपीटी-बूस्टर-2,DPT-Booster-2
"Td1, 2 or Td Booster***","टीटी 1, 2 किंवा टीटी बूस्टर***","TT 1, 2 or TT Booster *"
Select State,राज्य निवडा,Select state
Select District,जिल्हा निवडा,Select a district
-,-,The following: -
Login to your account,आपल्या खात्यात लॉग इन करा,Log in to your account
User Name ,वापरकर्ता नाव ,User Name
Password ,पासवर्ड ,Password Hint
Login,लॉगिन करा,Log In
OPEN A NEW TICKET,नवीन तिकीट उघडा,Open a new tab
CHECK TICKET STATUS,तिकीट स्थिती तपासा,Check ticket status
