en,ta,translated_helsinki
General Awareness on Mother Care,தாய் பராமரிப்பு பற்றிய பொது விழிப்புணர்வு,A general warning against breast - feeding
General Awareness on the Delivery of the child,குழந்தை பிரசவம் பற்றிய பொது விழிப்புணர்வு,A Common Warning About Child Prosperity
Awareness for Pregnancy in Preventing Anemia,கர்ப்ப காலத்தில் இரத்த சோகை வராமல் தடுப்பது குறித்த விழிப்புணர்வு,Warning about bloodless surgery during pregnancy
Lactating Mothers,பாலூட்டும் தாய்மார்கள்,The mother of a pregnant woman in her early 20 ’ s said: “I don’t know what I’m going through. ”
Awareness for Lactating Mother Complimentary Feeding for Children,பாலூட்டும் தாய்மார்களுக்கான விழிப்புணர்வு மற்றும் குழந்தைகளுக்கு துணை உணவு வழங்குதல் குறித்த ,Watching for breast - feeding and breast - feeding for breast - feeding and children
Download PDF, **,**
Lactating Mothers, பாலூட்டும் தாய்மார்கள்,The mother of a pregnant woman in her early 20 ’ s said: “I don’t know what I’m going through. ”
Awareness to Lactating Mother,பாலூட்டும் தாய்மார்களுக்கான விழிப்புணர்வு,A Warning for Infancy Mothers
"Awareness for Children Stunting, Wasting to prevent malnutrition in children",குழந்தைகளின் வளர்ச்சி குன்றியிருப்பதற்கான விழிப்புணர்வு மற்றும் குழந்தைகளின் ஊட்டச்சத்து குறைபாட்டை தடுப்பதற்கான விழிப்புணர்வு,Watching for children’s growth and preventing malnutrition of children
Growth Monitoring Assessment Charts,வளர்ச்சி கண்காணிப்பு மதிப்பீட்டு விளக்கப்படங்கள்,The value of growth oversight is explained
Stunted Assessment Parameters,வளர்ச்சி குன்றிய மதிப்பீட்டு அளவுருக்கள்,Dwelling Blocks of Growth
Wasted Assessment Parameters,வீணான மதிப்பீட்டு அளவுருக்கள்,Malformed parenthesis expression
