en,pa,translated_helsinki
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts. It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics.,ਪੋਸ਼ਣ ਟਰੈਕਰ ਆਂਗਣਵਾੜੀ ਵਰਕਰਾਂ ਨੂੰ ਉਨ੍ਹਾਂ ਦੇ ਯਤਨਾਂ ਦੇ ਪ੍ਰਤੀਬਿੰਬ ਦੇ ਨਾਲ ਕੁਸ਼ਲ ਸੇਵਾਵਾਂ ਪ੍ਰਦਾਨ ਕਰਨ ਲਈ ਇੱਕ ਨੌਕਰੀ-ਸਹਾਇਤਾ ਹੈ। ਇਹ ਪੋਸ਼ਣ ਅਭਿਆਨ ਦੇ ਤਹਿਤ ਇੱਕ ਮਹੱਤਵਪੂਰਨ ਅਤੇ ਲਾਭਪਾਤਰੀ-ਕੇਂਦ੍ਰਿਤ ਸੇਵਾ ਡਿਲੀਵਰੀ ਐਪਲੀਕੇਸ਼ਨ ਹੈ ਜੋ ਵਿਸ਼ਲੇਸ਼ਣ ਦੇ ਨਾਲ ਅਸਲ ਸਮੇਂ ਦੇ ਡੇਟਾ ਨੂੰ ਉਤਸ਼ਾਹਿਤ ਕਰੇਗੀ।.,The search tractor is a work-help to provide useful services with their interfaces. This search is an important and useful-based delivery application that will encourage real-time data with an interview.
WHAT ARE,ਕੀ ਹਨ,What's up?
Poshan Tracker Features,ਪੋਸ਼ਣ ਟਰੈਕਰ ਵਿਸ਼ੇਸ਼ਤਾਵਾਂ,Cannot initialise Evolution's mail component.
Real time recording and Monitoring,ਵਾਸਤਵਿਕ ਸਮਾਂ ਰਿਕਾਰਡਿੰਗ ਅਤੇ ਨਿਗਰਾਨੀ,Realtime recording and monitoring
"The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators. It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs. The objective is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The public dashboard helps to impart transparency on services delivered to beneficiaries.","ਪੋਸ਼ਣ ਟਰੈਕਰ ਪਰਿਭਾਸ਼ਿਤ ਸੂਚਕਾਂ 'ਤੇ ਸਾਰੇ ਆਂਗਣਵਾੜੀ ਕੇਂਦਰਾਂ(AWCs) ਅਤੇ ਲਾਭਪਾਤਰੀਆਂ ਦੀ ਅਸਲ-ਸਮੇਂ ਦੀ ਨਿਗਰਾਨੀ ਅਤੇ ਟਰੈਕਿੰਗ ਨੂੰ ਸਮਰੱਥ ਬਣਾਉਂਦਾ ਹੈ। ਇਹ ਕੇਂਦਰੀਕ੍ਰਿਤ ਡਾਟਾ ਆਰਕੀਟੈਕਚਰ ਦੀ ਵਰਤੋਂ ਕਰਕੇ ਬਣਾਇਆ ਗਿਆ ਹੈ ਜੋ ਦੂਜੇ ਮੰਤਰਾਲਿਆਂ ਅਤੇ ਪ੍ਰੋਗਰਾਮਾਂ ਦੇ ਡਿਜੀਟਲ ਤਕਨਾਲੋਜੀ ਪ੍ਰਣਾਲੀਆਂ ਨਾਲ ਵੀ ਮੇਲ ਖਾਂਦਾ ਹੈ। ਇਸਦਾ ਉਦੇਸ਼ ਆਂਗਣਵਾੜੀ ਕੇਂਦਰ (AWC) ਦੀਆਂ ਗਤੀਵਿਧੀਆਂ, ਆਂਗਣਵਾੜੀ ਵਰਕਰਾਂ (AWWs) ਦੀਆਂ ਸੇਵਾਵਾਂ ਅਤੇ ਗਰਭਵਤੀ ਔਰਤਾਂ, ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀਆਂ ਮਾਵਾਂ ਅਤੇ ਬੱਚਿਆਂ ਲਈ ਸੰਪੂਰਨ ਲਾਭਪਾਤਰੀ ਪ੍ਰਬੰਧਨ ਦਾ 360-ਡਿਗਰੀ ਮੁਆਇਨਾ ਪ੍ਰਦਾਨ ਕਰਨਾ ਹੈ। ਪਬਲਿਕ ਡੈਸ਼ਬੋਰਡ ਲਾਭਪਾਤਰੀਆਂ ਨੂੰ ਦਿੱਤੀਆਂ ਜਾਣ ਵਾਲੀਆਂ ਸੇਵਾਵਾਂ 'ਤੇ ਪਾਰਦਰਸ਼ਤਾ ਪ੍ਰਦਾਨ ਕਰਨ ਵਿੱਚ ਮਦਦ ਕਰਦਾ ਹੈ.","AWCs provides support for monitoring and tracking of the actual time of the users. This is based on the use of central data architecture, which is also based on the digital technology principles of other mechanisms and programs. The laws of the AWC are fundamental principles. The laws of the AWC are fundamental principles of the laws of the AWC system, the services of the Agency (AWWs) and the laws of pregnant women."
Services Delivered,ਸੇਵਾਵਾਂ ਪ੍ਰਦਾਨ ਕੀਤੀਆਂ ਗਈਆਂ,Serving in a Foreign Field How did Jehovah’s Witnesses feel about their preaching activity?
"Tracking of services to the end beneficiary at a click of a button. Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women.","ਇੱਕ ਬਟਨ ਦੇ ਕਲਿੱਕ ਨਾਲ ਅੰਤਮ ਲਾਭਪਾਤਰੀ ਨੂੰ ਸੇਵਾਵਾਂ ਦੀ ਟ੍ਰੈਕਿੰਗ। ਰਾਸ਼ਨ ਘਰ ਲਿਜਾਉ (THR) ਅਤੇ ਗਰਮ ਪਕਾਇਆ ਭੋਜਨ (HCM), ਬੱਚਿਆਂ ਅਤੇ ਗਰਭਵਤੀ ਔਰਤਾਂ ਲਈ ਟੀਕਾਕਰਨ ਵਰਗੀਆਂ ਸੇਵਾਵਾਂ.","Tracking services with a single button. Take the Queen's House (THR) and heat pack (HCM), children and pregnant women."
Growth Measurement,ਵਿਕਾਸ ਮਾਪ,_Development Size
"Children of different age groups are monitored on monthly basis by AWWs. Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards. Regular growth monitoring helps AWWs to provide relevant and timely assistance to children.","ਆਂਗਣਵਾੜੀ ਵਰਕਰਾਂ (AWWs) ਦੁਆਰਾ ਵੱਖ-ਵੱਖ ਉਮਰ ਸਮੂਹਾਂ ਦੇ ਬੱਚਿਆਂ ਦੀ ਮਾਸਿਕ ਆਧਾਰ 'ਤੇ ਨਿਗਰਾਨੀ ਕੀਤੀ ਜਾਂਦੀ ਹੈ। ਸਿਹਤ ਸੂਚਕਾਂ ਜਿਵੇਂ ਕਿ ਅਵਿਕਸਿਤਟਾ, ਦੁਰਬਲਤਾ ਅਤੇ ਘੱਟ ਭਾਰ ਦਾ ਪ੍ਰਚਲਨ WHO ਦੇ ਮਾਪਦੰਡਾਂ ਅਨੁਸਾਰ ਮਾਪਿਆ ਜਾਂਦਾ ਹੈ। ਨਿਯਮਤ ਵਾਧੇ ਦੀ ਨਿਗਰਾਨੀ ਆਂਗਣਵਾੜੀ ਵਰਕਰਾਂ (AWWs) ਨੂੰ ਬੱਚਿਆਂ ਨੂੰ ਢੁਕਵੀਂ ਅਤੇ ਸਮੇਂ ਸਿਰ ਸਹਾਇਤਾ ਪ੍ਰਦਾਨ ਕਰਨ ਵਿੱਚ ਮਦਦ ਕਰਦੀ ਹੈ.","Fireworks (AWWs) are monitored on the basis of the physical basis of children of different age groups. Health indicators such as accident, fatigue and lower weight behaviour are measured according to WHO's parents. AWWs regularly monitor fireworks (AWs) helps children to provide timely and timely assistance."
Home Visit Alerts,ਹੋਮ ਵਿਜ਼ਿਟ ਅਲਰਟ,Home Widgets Alert
"The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries. It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers. This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact.","ਪੋਸ਼ਨ ਟਰੈਕਰ ਆਖਰੀ-ਮੀਲ ਦੇ ਨਾਜ਼ੁਕ ਲਾਭਪਾਤਰੀਆਂ ਲਈ ਸਵੈਚਲਿਤ ਚੇਤਾਵਨੀਆਂ ਤਿਆਰ ਕਰਦਾ ਹੈ। ਇਹ ਲਾਭਪਾਤਰੀਆਂ ਅਤੇ ਡਿਊਟੀ ਧਾਰਕਾਂ ਦੀ ਅਸਲ ਸਮੇਂ ਦੀ ਹਾਜ਼ਰੀ ਦਾ ਪ੍ਰਸਤੁਤੀਕਰਨ ਕਰਕੇ ਡਿਲੀਵਰੀ ਪ੍ਰਣਾਲੀ ਦਾ ਕੁਸ਼ਲ ਆਡਿਟ ਵੀ ਯਕੀਨੀ ਬਣਾਉਂਦਾ ਹੈ। ਇਹ ਪ੍ਰਬੰਧਨ ਸੂਚਨਾ ਪ੍ਰਣਾਲੀ ਪੋਸ਼ਣ ਪ੍ਰੋਗਰਾਮ ਨੂੰ ਕੁਸ਼ਲਤਾ ਨਾਲ ਸਕੇਲ ਕਰਨ ਵਿੱਚ ਮਦਦ ਕਰੇਗੀ, ਇਸ ਤਰ੍ਹਾਂ ਸਕਾਰਾਤਮਕ ਪ੍ਰਭਾਵ ਪੈਦਾ ਕਰਨ ਅਤੇ ਦਸਤਾਵੇਜ਼ ਬਣਾਉਣ ਵਿੱਚ.","The Posting Tracker provides automatic warnings for the last-mail users. This allows you to ensure that the actual presence of the users and the media can also be verified by the delivery provider's console audit. This will help the program to be able to easily scale the search engine, thus creating interactive effects and creating documents."
Learning Videos,ਸਿੱਖਣ ਲਈ ਵੀਡੀਓਜ਼,Videos to Learn
How to take care of weak newborn with the help of Kangaroo Mother Care,ਕੰਗਾਰੂ ਮਦਰ ਕੇਅਰ ਦੀ ਮਦਦ ਨਾਲ ਕਮਜ਼ੋਰ ਨਵਜੰਮੇ ਬੱਚੇ ਦੀ ਦੇਖਭਾਲ ਕਿਵੇਂ ਕਰੀਏ,"With the help of Kangaroo Care, how to care for a weak newborn child"
Preventing illnesses to avert Malnutrition and Death,ਕੁਪੋਸ਼ਣ ਅਤੇ ਮੌਤ ਨੂੰ ਟਾਲਣ ਲਈ ਬਿਮਾਰੀਆਂ ਦੀ ਰੋਕਥਾਮ,Preventing Diseases to Eliminate Computing and Death
Prevention of Anemia in children and adolescents girls,ਬੱਚਿਆਂ ਅਤੇ ਕਿਸ਼ੋਰ ਲੜਕੀਆਂ ਵਿੱਚ ਅਨੀਮੀਆ ਦੀ ਰੋਕਥਾਮ,Animia’s Breakdown in Children and Adolescents
Birth Preparedness- For Institutional and Home Delivery,ਜਨਮ ਦੀ ਤਿਆਰੀ- ਸੰਸਥਾਗਤ ਅਤੇ ਹੋਮ ਡਿਲਿਵਰੀ ਲਈ,Birthdays & Anniversaries
Care of the weak newborn baby - How many weak babies are we missing?,ਕਮਜ਼ੋਰ ਨਵਜੰਮੇ ਬੱਚੇ ਦੀ ਦੇਖਭਾਲ - ਅਸੀਂ ਕਿੰਨੇ ਕਮਜ਼ੋਰ ਬੱਚੇ ਗੁਆ ਰਹੇ ਹਾਂ?,How much do we need to do in caring for a weak newborn?
Feeding During Illness,ਬਿਮਾਰੀ ਦੇ ਦੌਰਾਨ ਖੁਆਉਣਾ,How can you cope with the effects of sickness?
Preparation During Pregnancy - For NewBorn Care & Family Planning,ਗਰਭ ਅਵਸਥਾ ਦੌਰਾਨ ਤਿਆਰੀ - ਨਵਜੰਮੇ ਬੱਚਿਆਂ ਦੀ ਦੇਖਭਾਲ ਅਤੇ ਪਰਿਵਾਰ ਨਿਯੋਜਨ ਲਈ,"During pregnancy, prepare - up - to - date children to care for and provide for the family"
Ensuring Exclusive Breastfeeding,ਵਿਸ਼ੇਸ਼ ਤੌਰ ਤੇ ਛਾਤੀ ਦਾ ਦੁੱਧ ਚੁੰਘਾਉਣਾ ਯਕੀਨੀ ਬਣਾਉਣਾ,"In particular, it is important to make sure that there is no room for complacency."
Assessment of growth in children,ਬੱਚਿਆਂ ਵਿੱਚ ਵਿਕਾਸ ਦਾ ਮੁਲਾਂਕਣ,How can parents help their children to become “wise for salvation ”?
Preventing anemia in women,ਔਰਤਾਂ ਵਿੱਚ ਅਨੀਮੀਆ ਨੂੰ ਰੋਕਣਾ,Preventing Anemia in Women
Complementary Feeding - Diet Diversity,ਪੂਰਕ ਆਹਾਰ - ਖੁਰਾਕ ਵਿਭਿੰਨਤਾ,Whole Food — A Product of Variety
Identification and care of a Weak Newborn baby,ਕਮਜ਼ੋਰ ਨਵਜੰਮੇ ਬੱਚੇ ਦੀ ਪਛਾਣ ਅਤੇ ਦੇਖਭਾਲ,Recognizing and Caring for a Sick New Child
Observing Breastfeeding In Newborn Babies,ਨਵਜੰਮੇ ਬੱਚਿਆਂ ਲਈ ਛਾਤੀ ਦੇ ਦੁੱਧ ਦਾ ਨਿਰੀਖਣ,A review of the effects of breast cancer on newborns
Planning And Organising Community Based Events At AWC,ਆਂਗਣਵਾੜੀ ਸੈਂਟਰ (ਏਡਬਲਯੂਸੀ) ਵਿਖੇ ਕਮਿਊਨਿਟੀ ਆਧਾਰਿਤ ਸਮਾਗਮਾਂ ਦੀ ਯੋਜਨਾਬੰਦੀ ਅਤੇ ਆਯੋਜਨ ਕਰਨਾ,Design and organise community-based equipment at the Fireplace Center (Edbleusce)
Making or Updating Home Visit Planner and Initiating home visits,ਹੋਮ ਵਿਜ਼ਿਟ ਪਲੈਨਰ ਬਣਾਉਣਾ ਜਾਂ ਅੱਪਡੇਟ ਕਰਨਾ ਅਤੇ ਘਰੇਲੂ ਮੁਲਾਕਾਤਾਂ ਦੀ ਸ਼ੁਰੂਆਤ ਕਰਨਾ,Create or update a home widget and start home calls
Ensuring that complementary feeding improves over time,ਇਹ ਯਕੀਨੀ ਬਣਾਉਣਾ ਕਿ ਸਮੇਂ ਦੇ ਨਾਲ ਪੂਰਕ ਆਹਾਰ ਵਿੱਚ ਸੁਧਾਰ ਹੋਵੇ,Make sure that the time is correct in the full - time ministry
How to ensure timely initiation of complementary feeding,ਪੂਰਕ ਆਹਾਰ ਦੀ ਸਮੇਂ ਸਿਰ ਸ਼ੁਰੂਆਤ ਨੂੰ ਕਿਵੇਂ ਯਕੀਨੀ ਬਣਾਇਆ ਜਾਵੇ,How to Be Sure About Getting Started in Full - Time Service
Identifying and preventing Severe Acute Malnutrition,ਗੰਭੀਰ ਤੀਬਰ ਕੁਪੋਸ਼ਣ ਦੀ ਪਛਾਣ ਕਰਨਾ ਅਤੇ ਰੋਕਣਾ,Acknowledging and Preventing Serious Temperature Compositing
Identification & Referral of Sick Newborn,ਬਿਮਾਰ ਨਵਜੰਮੇ ਬੱਚੇ ਦੀ ਪਛਾਣ ਅਤੇ ਰੈਫਰ ਕਰਨਾ,A New Child’s Identity and Rehabilitation
Supporting mothers with issues in Breastfeeding,ਛਾਤੀ ਦਾ ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਿੱਚ ਸਮੱਸਿਆਵਾਂ ਵਾਲੀਆਂ ਮਾਵਾਂ ਦੀ ਸਹਾਇਤਾ ਕਰਨਾ,Helping Mothers With Problems in Dating
Why this Monthly Meeting?,ਇਹ ਮਹੀਨਾਵਾਰ ਮੀਟਿੰਗ ਕਿਉਂ?,Why this month’s meeting?
Awareness,ਜਾਗਰੂਕਤਾ,Watch Tower Bible and Tract Society of Pennsylvania may be named as the beneficiary of a life insurance policy or a retirement / pension plan.
ALL ,ਸਾਰੇ ,All
GENERAL ,ਜਨਰਲ (ਆਮ) ,General (Am)
Pregnant Women , ਗਰਭਵਤੀ .ਰਤਾਂ ,Pregnancy. . . . . .
Lactating Mothers ,ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀਆਂ ਮਾਵਾਂ ,Mothers Who Grieve
CHILD CARE ,ਬੱਚਿਆਂ ਦੀ ਦੇਖਭਾਲ ,Children’s Picture Search
Download PDF,ਪੀਡੀਐਫ਼ (PDF) ਡਾਊਨਲੋਡ ਕਰੋ,Download PDF
General Awareness about Growth Monitoring of Children,ਬੱਚਿਆਂ ਦੇ ਵਿਕਾਸ ਦੀ ਨਿਗਰਾਨੀ ਬਾਰੇ ਆਮ ਜਾਗਰੂਕਤਾ,General Watch Tower on Children’s Development
General Awareness about preventing illness in Children,ਬੱਚਿਆਂ ਵਿੱਚ ਬਿਮਾਰੀ ਦੀ ਰੋਕਥਾਮ ਬਾਰੇ ਆਮ ਜਾਗਰੂਕਤਾ,General Watch Tower on the Prevention of Disease in Children
General Awareness for Pregnancy,ਗਰਭ ਅਵਸਥਾ ਲਈ ਆਮ ਜਾਗਰੂਕਤਾ,General Watch for Pregnancy
General Awareness on Module,ਮੋਡੀਊਲ 'ਤੇ ਆਮ ਜਾਗਰੂਕਤਾ,General Watch on Module
General Awareness on Anaemia,ਅਨੀਮੀਆ 'ਤੇ ਆਮ ਜਾਗਰੂਕਤਾ,General Watch on Animia
General Awareness on SAM and MAM,ਐੱਸਏਐਮ(SAM) ਅਤੇ ਐਮਏਐਮ (MAM)ਬਾਰੇ ਆਮ ਜਾਗਰੂਕਤਾ,ASIM (SAM) and EMAM (MAM)
General Awareness on Mother Care,ਮਾਂ ਦੀ ਦੇਖਭਾਲ ਬਾਰੇ ਆਮ ਜਾਗਰੂਕਤਾ,The Watch Tower Society’s Watch Tower Society’s Watch Tower Bible and Tract Society of Pennsylvania is now known as the Watch Tower Society’s Watch Tower Bible and Tract Society of Pennsylvania.
General Awareness on the Delivery of the child,ਬੱਚੇ ਦੀ ਡਿਲੀਵਰੀ 'ਤੇ ਆਮ ਜਾਗਰੂਕਤਾ,General Watch for the Child's Delivery
Pregnant Women, ਗਰਭਵਤੀ .ਰਤਾਂ,Pregnancy. . . . . .
Awareness for Pregnancy in Preventing Anemia,ਅਨੀਮੀਆ ਨੂੰ ਰੋਕਣ ਲਈ ਗਰਭ ਅਵਸਥਾ ਬਾਰੇ ਜਾਗਰੂਕਤਾ,Watching the Need for Urgency to Prevent Anemia
Lactating Mothers,ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀਆਂ ਮਾਵਾਂ,Mothers Who Grieve
Awareness for Lactating Mother Complimentary Feeding for Children,ਬੱਚਿਆਂ ਲਈ ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀ ਮਾਂ ਦੇ ਪੂਰਕ ਆਹਾਰ ਲਈ ਜਾਗਰੂਕਤਾ,Watching for a Deadly Mother’s Complete Food
Awareness to Lactating Mother,ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀ ਮਾਂ ਪ੍ਰਤੀ ਜਾਗਰੂਕਤਾ,Watching Mothers Who Grieve
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","ਕੁਪੋਸ਼ਣ ਨੂੰ ਰੋਕਣ ਲਈ ਬੱਚਿਆਂ ਵਿੱਚ ਰੁਕੇ ਹੋਏ ਵਾਧੇ, ਦੁਰਬਲਤਾ ਪ੍ਰਤੀ ਜਾਗਰੂਕਤਾ",The increase in children’s inhibitions to prevent composting is a major factor in obesity.
Growth Monitoring Assessment Charts,ਵਿਕਾਸ ਨਿਗਰਾਨੀ ਮੁਲਾਂਕਣ ਚਾਰਟ,Cannot initialise Evolution's mail component.
Stunted Assessment Parameters,ਰੁਕੇ ਹੋਏ ਵਾਧੇ ਦਾ ਮੁਲਾਂਕਣ ਦਾ ਮਾਪਦੰਡ,The parents ’ appreciation for the forbidden increase
Wasted Assessment Parameters,ਦੁਰਬਲਤਾ ਦੇ ਮੁਲਾਂਕਣ ਦਾ ਮਾਪਦੰਡ,How can we show that we are “putting up with one another in love ” and that“ all the things ” that we have learned from God’s Word can help us to cope with life’s challenges?
Underweight Assessment Parameters,ਘੱਟ ਭਾਰ ਮੁਲਾਂਕਣ ਮਾਪਦੰਡ,Minimum load level
Manuals,ਦਸਤਾਵੇਜ਼,Documents
Poshan Tracker Process Flow,ਪੋਸ਼ਨ ਟ੍ਰੈਕਰ ਪ੍ਰਕਿਰਿਆ ਦਾ ਪ੍ਰਵਾਹ,The permissions of the mail tracer process.
Circulars/Notifications,ਪਰਿਪੱਤਰ/ਸੂਚਨਾਵਾਂ,Paper/Information
Clarification regarding Cost of Smart phones,ਸਮਾਰਟ ਫ਼ੋਨਾਂ ਦੀ ਲਾਗਤ ਬਾਰੇ ਸਪਸ਼ਟੀਕਰਨ,Spectator of Smart Phones
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,ਪੋਸ਼ਨ ਟਰੈਕਰ ਵਿੱਚ ਆਂਗਣਵਾੜੀ ਸੇਵਾ ਸਕੀਮਾਂ ਦੇ ਅੰਕੜੇ ਅਪਲੋਡ ਕਰਨਾ,Uploading statistics of fire service schemes in mailbox tracks
Data Plan for Mobile Application,ਮੋਬਾਈਲ ਐਪਲੀਕੇਸ਼ਨ ਲਈ ਡਾਟਾ ਪਲਾਨ,Data planning for mobile applications
Specifications of Smart phone and Technical Compatibility Testing,ਸਮਾਰਟ ਫੋਨ ਅਤੇ ਤਕਨੀਕੀ ਅਨੁਕੂਲਤਾ ਟੈਸਟਿੰਗ ਦੀਆਂ ਵਿਸ਼ੇਸ਼ਤਾਵਾਂ,Smart phone and technical compatibility testing properties
Training on ICT Platform under POSHAN Abhiyaan,ਪੋਸ਼ਣ ਅਭਿਆਨ ਤਹਿਤ ਆਈਸੀਟੀ ਪਲੇਟਫਾਰਮ 'ਤੇ ਸਿਖਲਾਈ,Training at a research institute platform
New Poshan Tracker App - CSC-SPV Nodal Person,ਨਵੀਂ ਪੋਸ਼ਨ ਟਰੈਕਰ ਐਪ - ਸੀਐਸਸੀ-ਸੀਪੀਵੀ ਨੋਡਲ ਵਿਅਕਤੀ,New Poster Tracker P - CCS-SIPIV Nodal Person
New Poshan Tracker App,ਨਵਾਂ ਪੋਸ਼ਨ ਟਰੈਕਰ ਐਪ,New Post Tracker
Birth,ਜਨਮ,_Other Organiser
Bacillus Calmette Guerin (BCG),ਬੈਸੀਲਸ ਕੈਲਮੇਟ ਗੁਆਰਿਨ (ਬੀਸੀਜੀ),Bessels Kalmet Guerin (Bessie)
Oral Polio Vaccine (OPV)-0 dose ,ਓਰਲ ਪੋਲੀਓ ਵੈਕਸੀਨ (ਓ ਪੀ ਵੀ)-0 ਖੁਰਾਕ ,Oralpolio vaccine (OPV)-0 free
Hepatitis B birth dose OPV-1 T,ਹੈਪੇਟਾਈਟਸ ਬੀ ਦੀ ਜਨਮ ਖੁਰਾਕ ਓਪੀਵੀ-1 ਟੀ,Hepatitis B's kinetic OPVI-1 TT
Weeks,ਹਫ਼ਤੇ,Weeks
OPV-1,ਓਪੀਵੀ-1,Opivi-1
Pentavalent-1,ਪੇਂਟਾਵਲੇੰਟ-1,Dotavlant-1
Rotavirus Vaccine (RVV)-1,ਰੋਟਾਵਾਇਰਸ ਵੈਕਸੀਨ (ਆਰਵੀਵੀ)-1,Rotavairs Vexin (Arvey)-1
Fractional dose of Inactivated Polio Vaccine (fIPV)-1,ਇਨਐਕਟੀਵੇਟਿਡ ਪੋਲੀਓ ਵੈਕਸੀਨ ਦੀ ਅੰਸ਼ਿਕ ਖੁਰਾਕ (fIPV) -1,Inactivated polynomial waxine (fIPV)-1
Pneumococcal Conjugate Vaccine (PCV) -1,ਨਿਊਮੋਕੋਕਲ ਕੰਨਜੁਗੇਟ ਵੈਕਸੀਨ (ਪੀਸੀਵੀ) -1,Monomococal conjugate waxine (psyvi)-1
OPV-2,ਓਪੀਵੀ-2,OPVI-2
Pentavalent-2,ਪੇਂਟਾਵਲੇੰਟ-2,PontaVlant-2
RVV-2,ਆਰਵੀਵੀ-2,Arabic-2
OPV-3,ਓਪੀਵੀ-3,Opivi-3
Pentavalent-3,ਪੇਂਟਾਵਲੇੰਟ-3,PontaVlant-3
fIPV-2T,ਐਫਆਈਪੀਵੀ-2ਟੀ,Effavi-2T
RVV-3,ਆਰ.ਵੀ.ਵੀ.-3,RV-3
PCV-2,ਪੀਸੀਵੀ-2,PESVI-2
Months,ਮਹੀਨੇ,Month
Measles Containing vaccine (MCV)/Measles & Rubella (MR)-1,ਖਸਰੇ ਵਾਲੀ ਵੈਕਸੀਨ (ਐਮਸੀਵੀ)/ਖਸਰਾ ਅਤੇ ਰੁਬੈਲਾ (ਐਮਆਰ)-1,Special Wax (AMSIV)/Charra and Rhobela (Amer)-1
Japanese Encephalitis(JE)-1**,ਜਾਪਾਨੀ ਇਨਸੇਫਲਾਈਟਿਸ (ਜੇਈ)-1**,Japanese Simplified (Jay)-1**
PCV-Booster,ਪੀਸੀਵੀ -ਬੂਸਟਰ,Pacevi-Buster
Measles Containing vaccine (MCV)/MR-2,ਖਸਰੇ ਵਾਲੀ ਵੈਕਸੀਨ (ਐਮਸੀਵੀ)/ਐਮਆਰ-2,Special Wax (AMSIV)/Amer-2
JE-2**,ਜੇਈ-2**,Jay-2**
Diphtheria,ਡਿਪਥੀਰੀਆ,Depteria
Pertussis & Tetanus (DPT)-Booster-1,ਪਰਟੂਸਿਸ ਅਤੇ ਟੈਟਨਸ (ਡੀਪੀਟੀ)-ਬੂਸਟਰ-1,Pathus And Tattens (Depty)-Buster-1
OPV –Booster,ਓਪੀਵੀ - ਬੂਸਟਰ,Opivi - Buster
Years,ਸਾਲ,Year
DPT-Booster-2,ਡੀਪੀਟੀ-ਬੂਸਟਰ-2,Double-declining depreciation [d]
"Td1, 2 or Td Booster***","ਟੀਡੀ1, 2 ਜਾਂ ਟੀਡੀ ਬੂਸਟਰ*","Tide1, 2 or Tide Buster*"
Select State,ਰਾਜ ਦੀ ਚੋਣ ਕਰੋ,Choose a Kingdom
Select District,ਜ਼ਿਲ੍ਹਾ ਚੁਣੋ,Could not close temporary folder: %s
Login to your account,ਆਪਣੇ ਖਾਤੇ ਵਿੱਚ ਲਾਗਇੰਨ ਕਰੋ,Log in to your accounts
User Name ,ਉਪਭੋਗਤਾ ਨਾਮ ,User Name
Password ,ਪਾਸਵਰਡ ,Password
Login,ਲਾਗਇੰਨ,Login
OPEN A NEW TICKET,ਇੱਕ ਨਵੀਂ ਟਿਕਟ ਖੋਲ੍ਹੋ,Open a new tab
CHECK TICKET STATUS,ਟਿਕਟ ਸਥਿਤੀ ਦੀ ਜਾਂਚ ਕਰੋ,Check the location of the note
Create a New Ticket,ਇੱਕ ਨਵੀਂ ਟਿਕਟ ਬਣਾਓ,_Other Organiser
Please fill in the form below to create a new ticket. Anganwadi Worker will reach out to you within 48 hours..,ਕਿਰਪਾ ਕਰਕੇ ਨਵੀਂ ਟਿਕਟ ਬਣਾਉਣ ਲਈ ਹੇਠਾਂ ਦਿੱਤੇ ਫਾਰਮ ਨੂੰ ਭਰੋ। ਆਂਗਣਵਾੜੀ ਵਰਕਰ 48 ਘੰਟਿਆਂ ਦੇ ਅੰਦਰ ਤੁਹਾਡੇ ਨਾਲ ਸੰਪਰਕ ਕਰੇਗੀ।.,Please fill in the form below to create a new tag. The firewall will contact you within 48 hours.
