en,te,translated_helsinki
General Awareness on Mother Care,తల్లి జాగ్రత్తలపై సాధారణ అవగాహన,A Common Sense of Mother’s Watch
General Awareness on the Delivery of the child,బిడ్డ డెలివరీపై సాధారణ అవగాహన,A common understanding of the child’s deeds
Awareness for Pregnancy in Preventing Anemia,రక్తహీనతను నివారించడంలో గర్భధారణ కొరకు అవగాహన,Understanding the Significance of Bloodless Surgery
Awareness for Lactating Mother Complimentary Feeding for Children,పిల్లలకు పాలిచ్చే తల్లి కాంప్లిమెంటరీ ఫీడింగ్ కొరకు అవగాహన,Understanding for the Complementary Feeding of Children
Awareness to Lactating Mother,పాలిచ్చే తల్లికి అవగాహన,A Mother Who Deserves
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","పిల్లల కొరకు అవగాహన ఎదుగుదల, పిల్లల్లో పోషకాహార లోపాన్ని నిరోధించడం కొరకు వృధా చేయడం",Raising an understanding for children and preventing food poisoning in children
Growth Monitoring Assessment Charts,గ్రోత్ మానిటరింగ్ అసెస్ మెంట్ ఛార్టులు,Grotto monitoring aces mant cards
Stunted Assessment Parameters,ఎదుగుదల నిలిచిపోయిన అసెస్ మెంట్ పరామీటర్ లు,Access Ment Parametres Standby
Wasted Assessment Parameters,వృధా అసెస్ మెంట్ పరామీటర్లు,Vertex Asset Ment Parameters
Underweight Assessment Parameters,తక్కువ బరువు మదింపు పరామీటర్లు,Low Load Average Parametres
Manuals,మాన్యువల్స్,Manuels
Poshan Tracker Process Flow,పోషణ్ ట్రాకర్ ప్రాసెస్ ఫ్లో,Cannot initialise Evolution's mail component.
Circulars/Notifications,సర్క్యులర్లు/నోటిఫికేషన్ లు,Circles/Notifications
Clarification regarding Cost of Smart phones,స్మార్ట్ ఫోన్ ల యొక్క ఖర్చుకు సంబంధించి స్పష్టత,Transparency of the cost of smartphones
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,పోషణ్ ట్రాకర్ లో అంగన్ వాడీ సేవా పథకాల డేటాను అప్ లోడ్ చేయడం,Downloading Angwayway Service Data Paths in Mailbox Tracker
Data Plan for Mobile Application,మొబైల్ అప్లికేషన్ కొరకు డేటా ప్లాన్,Data plan for mobile applications
Specifications of Smart phone and Technical Compatibility Testing,స్మార్ట్ ఫోన్ యొక్క స్పెసిఫికేషన్ లు మరియు టెక్నికల్ కంపాటబిలిటీ టెస్టింగ్,Powered by Smart Phone and Technical Computability Testing
Training on ICT Platform under POSHAN Abhiyaan,పోషణ్ అభియాన్ కింద ఐసిటి ప్లాట్ ఫారమ్ పై ట్రైనింగ్,Training on isti Platt format under the post office
New Poshan Tracker App - CSC-SPV Nodal Person,న్యూ పోషణ్ ట్రాకర్ యాప్ - CSC-SPV నోడల్ పర్సన్,New post office tracker Japan - CSC-SPV Nodal Person
New Poshan Tracker App,న్యూ పోషణ్ ట్రాకర్ యాప్,New Mailbox Tracker Jap
Birth,పుట్టుక,_Other Organiser
Bacillus Calmette Guerin (BCG),బాసిల్లస్ కాల్మెట్ గురిన్ (BCG),Basilluscalmeth Green (BCG)
Oral Polio Vaccine (OPV)-0 dose,ఓరల్ పోలియో వ్యాక్సిన్ (OPV)-0 మోతాదు,Oralpolio vaccine (OPV)-0 motad
Hepatitis B birth dose OPV-1 T,హెపటైటిస్ బి జనన మోతాదు OPV-1 T,Hepatitis B birth Motad OPV-1 T
Weeks,వారాలు,Weeks
OPV-1,OPV-1,OPV-1
Pentavalent-1,పెంటావాలెంట్-1,Pentavalent-1
Rotavirus Vaccine (RVV)-1,రోటావైరస్ వ్యాక్సిన్ (RVV)-1,Rotavirus vaccine (RVVV)-1
Fractional dose of Inactivated Polio Vaccine (fIPV)-1,ఇనాక్టివేటెడ్ పోలియో వ్యాక్సిన్ (fIPV)-1 యొక్క భిన్న మోతాదు,Inoctivated polynoxin (fIPV)-1 different motads
Pneumococcal Conjugate Vaccine (PCV) -1,న్యుమోకాకల్ కాంజుగేట్ వ్యాక్సిన్ (పిసివి) -1,Numoccal conjugate vaccine (psyvi)-1
OPV-2,OPV-2,OPV-2
Pentavalent-2,పెంటావాలెంట్-2,Pentavalent-2
RVV-2,ఆర్వీవీ-2,Arabic-2
