en,gu,translated_helsinki
Wasted Assessment Parameters,વેસ્ટીંગ નક્કી કરવા માટેના માપદંડો,Scales to determine Westing
Underweight Assessment Parameters,ઓછા વજનવાળા બાળકો નક્કી કરવા માટેના માપદંડો,Amount to rule out the children who are under the child’s care
Manuals,માર્ગદર્શિકાઓ,Guides
Poshan Tracker Process Flow,પોષણ ટ્રેકર પ્રક્રિયા પ્રવાહ,Human Tracker Process Login
Circulars/Notifications,પરિપત્રો/સૂચનો,Papers/Notes
Clarification regarding Cost of Smart phones,સ્માર્ટ ફોનની કિંમત અંગે સ્પષ્ટતા,Could not close temporary folder: %s
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,પોષણ ટ્રેકરમાં આંગણવાડી સેવાઓને લગતી યોજનાઓના ડેટા અપલોડ કરવો,Load data of schemes related to hardware services on a human tracker
Data Plan for Mobile Application,મોબાઇલ એપ્લિકેશન માટે ડેટા પ્લાન,Data plan for mobile applications
Specifications of Smart phone and Technical Compatibility Testing,સ્માર્ટ ફોનના સ્પેસિફિકેશન અને ટેકનિકલ સુસંગતતા પરીક્ષણ,Smart phone specification and technical compatibility test
Training on ICT Platform under POSHAN Abhiyaan,પોષણ અભિયાન હેઠળ ICT પ્લેટફોર્મ પર તાલીમ,Training on ICT platform under human input
New Poshan Tracker App - CSC-SPV Nodal Person,નવી પોષણ ટ્રેકર એપ - CSC-SPV નોડલ પર્સન,New Tracker App - CSC-SPV Nodal Device
New Poshan Tracker App,નવી પોષણ ટ્રેકર એપ,New Contact Tracker App
Birth,જન્મ,_Other Organiser
Bacillus Calmette Guerin (BCG),બેસિલસ કેલ્મેટ ગ્યુરીન (BCG),Bessels Kilmet Gurine (BCG)
Oral Polio Vaccine (OPV)-0 dose ,ઓરલ પોલિયો રસી (OPV)-0 ડોઝ ,Oral Poly root (OPV)-0 Doze
Hepatitis B birth dose OPV-1 T,હેપેટાઇટિસ બી જન્મ માત્રા OPV-1 T,Hepatitis By birth only OPV-1 T
6 ,6 ,6chess-rank
Weeks,અઠવાડિયા,week(s)
OPV-1,OPV-1,OPV-1
Pentavalent-1,પેન્ટાવેલેન્ટ-1,Pentavelent-1
Rotavirus Vaccine (RVV)-1,રોટાવાયરસ રસી (RVV)-1,Rotawaters Russian (RVVV)-1
Fractional dose of Inactivated Polio Vaccine (fIPV)-1,નિષ્ક્રિય પોલિયો રસી (fIPV)-1 ની અપૂર્ણાંક માત્રા,Invalid polyline (fIPV)-1 integer only
Pneumococcal Conjugate Vaccine (PCV) -1,ન્યુમોકોકલ કોન્જુગેટ વેક્સિન (PCV)-1,Noumococal conjugate vaccine (PCV)-1
OPV-2,OPV-2,OPV-2
Pentavalent-2,પેન્ટાવેલેન્ટ-2,Pentavelent-2
RVV-2,RVV-2,RVV-2
14 ,14 ,14 places
OPV-3,OPV-3,OPV-3
Pentavalent-3,પેન્ટાવેલેન્ટ-3,Pentavelent-3
RVV-3,RVV-3,RVV-3
9 - 12 ,9 - 12 ,ANALYZE THE SCENE. — READ GENESIS 9 - 12
Months,મહિનાઓ,Months
Measles Containing vaccine (MCV)/Measles & Rubella (MR)-1,ઓરી ધરાવતી રસી (MCV)/ઓરી અને રૂબેલા (MR)-1,Russian Russian (MCV)/Ori and rubella (MR)-1
Japanese Encephalitis(JE)-1**,જાપાનીઝ એન્સેફાલીટીસ (JE)-1**,Japanese encephalitis (JE)-1**
PCV-Booster,PCV-બૂસ્ટર,PCV-Buster
16 - 24 ,16 - 24 ,"Study Articles 1, 2 PAGES 16 - 24"
Measles Containing vaccine (MCV)/MR-2,ઓરી ધરાવતી રસી (MCV)/MR-2,Russian Ocean (MCV)/MR-2
Diphtheria,ડિપ્થેરિયા,Duptheria
Pertussis & Tetanus (DPT)-Booster-1,પેર્ટુસિસ એન્ડ ટેટેનસ (ડીપીટી)-બૂસ્ટર-1,Pertussis And Tetens (dipidi)-Buster-1
OPV –Booster,OPV - બૂસ્ટર,OPV - Buster
5 - 6 ,5 - 6 ,5 - 6
Years,વર્ષ,Year
DPT-Booster-2,ડીપીટી-બૂસ્ટર-2,Dipit-Buster-2
"Td1, 2 or Td Booster***","Td1, 2 અથવા Td બૂસ્ટર***","Td1, 2 or Td Buster**"
Select State,સ્થિતિ પસંદ કરો,Select Status
Select District,જિલ્લો પસંદ કરો,Select Cells
-,-,- I don't know.
Login to your account,તમારા અકાઉન્ટમાં લોગઈન,Log In To Your Account
User Name ,યુઝર નેમ ,User Name
Password ,પાસવર્ડ ,Password
Login,લોગઈન,Login
OPEN A NEW TICKET,નવી ટિકિટ ખોલો,Open a new tag
CHECK TICKET STATUS,ટિકિટની સ્થિતિ તપાસો,Check the state of the label
Create a New Ticket,નવી ટિકિટ બનાવો,Create a new note
Please fill in the form below to create a new ticket. Anganwadi Worker will reach out to you within 48 hours..,નવી ટિકિટ બનાવવા માટે કૃપા કરીને નીચેનું ફોર્મ ભરો. આંગણવાડી કાર્યકર 48 કલાકની અંદર તમારો સંપર્ક કરશે..,Please fill in the form below to create a new tag. The provider will contact you within 48 hours.
Beneficiary Category ,લાભાર્થી શ્રેણી ,Labyrinth
Select a Beneficiary Category,બેનિફિશિયરી કેટેગરી પસંદ કરો,Select Beneficiary Category
Children (0-6 months),બાળકો (0-6 મહિના),Children (0-6 months)
Children (6 months - 3 years),બાળકો (6 મહિના-3 વર્ષ),Children (6 months-3 years)
Children (3 - 6 years),બાળકો (3-6 વર્ષ),Children (3-6 years)
Query Related to ,થી સંબંધિત પ્રશ્ન ,Questions About
Select Query Related to,સાથે સંબંધિત ક્વેરીની પસંદગી કરો,Select a query to connect to
Supervisor,નિરીક્ષક,Watcher
Help Topic ,મદદ વિષય ,Help Topics
