en,gu
Awareness for Pregnancy in Preventing Anemia,સગર્ભાવસ્થામાં એનિમિયાની અટકાયત માટે જાગૃતિ
Download PDF,PDF ડાઉનલોડ કરો
Lactating Mothers,સ્તનપાન કરાવતી માતાઓ
Awareness for Lactating Mother Complimentary Feeding for Children,સ્તનપાન કરાવતી માતાઓ માટે બાળકોના ઉપરી આહાર અંગે જાગૃતિ
Download PDF,PDF ડાઉનલોડ કરો
Lactating Mothers,સ્તનપાન કરાવતી માતાઓ
Awareness to Lactating Mother,સ્તનપાન કરાવતી માતા માટે જાગૃતિ
Download PDF,PDF ડાઉનલોડ કરો
Child Care,Child Care
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","બાળકોમાં કુપોષણને રોકવા માટે બાળકોના સ્ટંટિંગ, વેસ્ટિંગ અંગે જાગૃતિ"
Download PDF,PDF ડાઉનલોડ કરો
❯,❯
❮,❮
General Awareness about Home Visit Scheduler,General Awareness about Home Visit Scheduler
Download PDF,PDF ડાઉનલોડ કરો
General Awareness about Growth Monitoring of Children,બાળકોના વૃધ્ધિ-વિકાસ વિશે સામાન્ય જાગૃતિ
Download PDF,PDF ડાઉનલોડ કરો
General Awareness about preventing illness in Children,બાળકોમાં બિમારી અટકાવવા અંગે સામાન્ય જાગૃતિ
Download PDF,PDF ડાઉનલોડ કરો
General Awareness for Pregnancy,ગર્ભાવસ્થા માટે સામાન્ય જાગૃતિ
Download PDF,PDF ડાઉનલોડ કરો
General Awareness on Module,મોડ્યુલ પર સામાન્ય જાગૃતિ
Download PDF,PDF ડાઉનલોડ કરો
General Awareness on Anaemia,એનિમિયા પર સામાન્ય જાગૃતિ
Download PDF,PDF ડાઉનલોડ કરો
General Awareness on SAM and MAM,SAM અને MAM પર સામાન્ય જાગૃતિ
Download PDF,PDF ડાઉનલોડ કરો
General Awareness on Mother Care,માતાની સંભાળ અંગે સામાન્ય જાગૃતિ
Download PDF,PDF ડાઉનલોડ કરો
General Awareness on the Delivery of the child,બાળકના જન્મ અંગે સામાન્ય જાગૃતિ
Download PDF,PDF ડાઉનલોડ કરો
❯,❯
❮,❮
Awareness for Pregnancy in Preventing Anemia,સગર્ભાવસ્થામાં એનિમિયાની અટકાયત માટે જાગૃતિ
Download PDF,PDF ડાઉનલોડ કરો
❯,❯
❮,❮
Awareness for Lactating Mother Complimentary Feeding for Children,સ્તનપાન કરાવતી માતાઓ માટે બાળકોના ઉપરી આહાર અંગે જાગૃતિ
Download PDF,PDF ડાઉનલોડ કરો
Awareness to Lactating Mother,સ્તનપાન કરાવતી માતા માટે જાગૃતિ
Download PDF,PDF ડાઉનલોડ કરો
❯,❯
❮,❮
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","બાળકોમાં કુપોષણને રોકવા માટે બાળકોના સ્ટંટિંગ, વેસ્ટિંગ અંગે જાગૃતિ"
Download PDF,PDF ડાઉનલોડ કરો
❯,❯
Growth Monitoring Assessment Charts,ગ્રોથ મોનિટરિંગ એસેસમેન્ટ ચાર્ટ
Stunted Assessment Parameters,સ્ટંટીંગ નક્કી કરવા માટેના માપદંડો 
Download PDF,PDF ડાઉનલોડ કરો
Wasted Assessment Parameters,વેસ્ટીંગ નક્કી કરવા માટેના માપદંડો
Download PDF,PDF ડાઉનલોડ કરો
Underweight Assessment Parameters,ઓછા વજનવાળા બાળકો નક્કી કરવા માટેના માપદંડો
Download PDF,PDF ડાઉનલોડ કરો
Manuals,માર્ગદર્શિકાઓ
Poshan Tracker Process Flow,પોષણ ટ્રેકર પ્રક્રિયા પ્રવાહ
Download PDF,PDF ડાઉનલોડ કરો
Circulars/Notifications,પરિપત્રો/સૂચનો
03 June,03 June
2021,2021
Clarification regarding Cost of Smart phones,સ્માર્ટ ફોનની કિંમત અંગે સ્પષ્ટતા
Download PDF,PDF ડાઉનલોડ કરો
24 May,24 May
2021,2021
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,પોષણ ટ્રેકરમાં આંગણવાડી સેવાઓને લગતી યોજનાઓના ડેટા અપલોડ કરવો
Download PDF,PDF ડાઉનલોડ કરો
01 March,01 March
2021,2021
Data Plan for Mobile Application,મોબાઇલ એપ્લિકેશન માટે ડેટા પ્લાન
Download PDF,PDF ડાઉનલોડ કરો
02 February,02 February
2021,2021
Specifications of Smart phone and Technical Compatibility Testing,સ્માર્ટ ફોનના સ્પેસિફિકેશન અને ટેકનિકલ સુસંગતતા પરીક્ષણ
Download PDF,PDF ડાઉનલોડ કરો
02 February,02 February
2021,2021
Training on ICT Platform under POSHAN Abhiyaan,પોષણ અભિયાન હેઠળ ICT પ્લેટફોર્મ પર તાલીમ
Download PDF,PDF ડાઉનલોડ કરો
02 February,02 February
2021,2021
New Poshan Tracker App - CSC-SPV Nodal Person,નવી પોષણ ટ્રેકર એપ - CSC-SPV નોડલ પર્સન
Download PDF,PDF ડાઉનલોડ કરો
13 January,13 January
2021,2021
New Poshan Tracker App,નવી પોષણ ટ્રેકર એપ
Download PDF,PDF ડાઉનલોડ કરો
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
Support,મદદ
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,મોબાઈલ એપ ડાઉનલોડ કરો
Powered By,Powered By
About,વિશે
Resources,સંસાધનો
Dashboard,ડેશબોર્ડ
Helpdesk,હેલ્પડેસ્ક
FAQ,વારંવાર પૂછાતા પ્રશ્નો
Poshan Calculator,પોષણ કેલ્ક્યુલેટર
Terms of Service,સેવાની શરતો
Privacy Policy,પ્રાઇવસી પોલિસી
Careers,કારકિર્દ
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (હેલ્થ ID)
Language,ભાષા
About,વિશે
Resources,સંસાધનો
Resources,સંસાધનો
Vaccination Schedule,રસીકરણ શેડ્યૂલ
Dashboard,ડેશબોર્ડ
Dashboard,ડેશબોર્ડ
Mission Utkarsh,Mission Utkarsh
Helpdesk,હેલ્પડેસ્ક
Beneficiary Redressal,લાભાર્થી અસંતોષ નિવારણ
