en,hi
JanAndolan,মণিপুরী
ABHA (Health ID),संथाली
Language,اردو
English,کٲشُر
हिंदी,के बारे में
ગુજરાતી,स्रोत
મરાઠી,स्रोत
ಕನ್ನಡ,टीकाकरण सूची
മലയാളം,डैशबोर्ड
தமிழ்,डैशबोर्ड
తెలుగు,Mission Utkarsh
বাংলা,हेल्पडेस्क
অসমীয়া,लाभार्थी निवारण/उपाय
ਪੰਜਾਬੀ,राज्य सहायता केंद्र
ଓଡ଼ିଆ,अक्सर पूछे जाने वाले प्रश्न
नेपाली,पोषण कैल्कुलेटर/ मापक
डोगरी,लॉगिन
कोंकणी,एक नया टिकट खोलें
सिंधी,टिकट की स्थिति जांचें
बोडो,एक नया टिकट बनाएँ
मैथिली,नया टिकट बनाने के लिए कृपया नीचे दिए गए प्रपत्र को भरें। आँगनबाड़ी कार्यकर्ता 48 घंटे के अंदर आपसे संपर्क करेगी।.
মণিপুরী,लाभार्थी की श्रेणी 
संथाली,एकटा लाभार्थी श्रेणीक चयन करू
اردو,गर्भवती महिलाएं
کٲشُر,स्तनपान कराने वाली महिलाएँ
About,बच्चे (0-6 महीने)
Resources,बच्चे (6 महीने - 3 वर्ष)
Resources,बच्चे (3 - 6 वर्ष)
Vaccination Schedule,किशोर लड़की
Dashboard,से संबंधित प्रश्न 
Dashboard,से संबंधित प्रश्न का चयन करें
