en,kn
VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE,VIII. ಬಹುಭಾಷಾ ಇಂಟರ್‌ಫೇಸ್‌ಗಳ ಮಿತಿಗಳು
"Translations on the Poshan Tracker Portal & App Chabot are done by third party translators. While the translations are done on a best effort basis, some of the parts may be incorrect. Certain files and other items on the website cannot be translated. In addition, on translation, some applications and/or services may not function as expected, due to language barriers. We are working constantly to rectify any errors, omissions, or ambiguities in the translations provided on this portal.","ಪೋಷನ್ ಟ್ರ್ಯಾಕರ್ ಪೋರ್ಟಲ್ ಮತ್ತು ಚಾಬೊಟ್ ಅಪ್ಲಿಕೇಶನ್ ಅನ್ನು ಥರ್ಡ್ ಪಾರ್ಟಿ ಅನುವಾದಕರು ಅನುವಾದಿಸಿದ್ದಾರೆ. ಅನುವಾದಗಳನ್ನು ಅತ್ಯುತ್ತಮ ಪ್ರಯತ್ನದ ಆಧಾರದ ಮೇಲೆ ಮಾಡಲಾಗಿದ್ದರೂ, ಕೆಲವು ಭಾಗಗಳು ತಪ್ಪಾಗಿರಬಹುದು. ವೆಬ್‌ಸೈಟ್‌ನಲ್ಲಿರುವ ಕೆಲವು ಫೈಲ್‌ಗಳು ಮತ್ತು ಇತರ ಐಟಂಗಳನ್ನು ಅನುವಾದಿಸಲಾಗುವುದಿಲ್ಲ. ಹೆಚ್ಚುವರಿಯಾಗಿ, ಅನುವಾದದ ನಂತರ, ಭಾಷೆಯ ನಿರ್ಬಂಧಗಳ ಕಾರಣದಿಂದಾಗಿ ಕೆಲವು ಅಪ್ಲಿಕೇಶನ್‌ಗಳು ಮತ್ತು/ಅಥವಾ ಸೇವೆಗಳು ನಿರೀಕ್ಷೆಯಂತೆ ಕಾರ್ಯನಿರ್ವಹಿಸುವುದಿಲ್ಲ. ಈ ಪೋರ್ಟಲ್‌ನಲ್ಲಿ ಒದಗಿಸಲಾದ ಅನುವಾದಗಳಲ್ಲಿನ ಯಾವುದೇ ದೋಷಗಳು, ಲೋಪಗಳು ಅಥವಾ ಅಸ್ಪಷ್ಟತೆಗಳನ್ನು ಸರಿಪಡಿಸಲು ನಾವು ನಿರಂತರವಾಗಿ ಕಾರ್ಯನಿರ್ವಹಿಸುತ್ತಿದ್ದೇವೆ."
IX. LINKS,IX. ಲಿಂಕ್ ಗಳು
"The Site may contain links to other websites that may not be owned, maintained, or operated by us. The fact that these websites are linked, does not indicate any endorsement of these websites from us, since we do have any control over these websites. We are not responsible for these websites including any content or the privacy practices of these websites. We strongly encourage you to familiarize yourself with the terms of use of these websites. Your use of these websites is at your own risk and peril. It is solely up to you to take necessary precautions to ensure that the links you select or any software you may download is free of viruses, worms, Trojan horses, defects, date bombs, time bombs, and other or other computer programming routines which are of destructive nature","ಸೈಟ್ ನಮ್ಮ ಮಾಲೀಕತ್ವವನ್ನು ಹೊಂದಿರದ, ನಿರ್ವಹಿಸದಿರುವ ಇತರ ವೆಬ್‌ಸೈಟ್‌ಗಳಿಗೆ ಲಿಂಕ್‌ಗಳನ್ನು ಹೊಂದಿರಬಹುದು. ಈ ವೆಬ್‌ಸೈಟ್‌ಗಳನ್ನು ಲಿಂಕ್ ಮಾಡಲಾಗಿದೆ ಎಂಬ ಅಂಶವು ಈ ವೆಬ್‌ಸೈಟ್‌ಗಳ ಯಾವುದೇ ಅನುಮೋದನೆಯನ್ನು ಸೂಚಿಸುವುದಿಲ್ಲ, ಏಕೆಂದರೆ ಈ ವೆಬ್‌ಸೈಟ್‌ಗಳ ಮೇಲೆ ನಮಗೆ ಯಾವುದೇ ನಿಯಂತ್ರಣವಿಲ್ಲ. ಈ ವೆಬ್‌ಸೈಟ್‌ಗಳ ವಿಷಯ ಅಥವಾ ಗೌಪ್ಯತೆ ಅಭ್ಯಾಸಗಳು ಸೇರಿದಂತೆ ಈ ಯಾವುದೇ ವೆಬ್‌ಸೈಟ್‌ಗಳಿಗೆ ನಾವು ಜವಾಬ್ದಾರರಾಗಿರುವುದಿಲ್ಲ. ಈ ವೆಬ್‌ಸೈಟ್‌ಗಳ ಬಳಕೆಯ ನಿಯಮಗಳೊಂದಿಗೆ ನೀವೇ ಪರಿಚಿತರಾಗಲು ನಾವು ನಿಮ್ಮನ್ನು ಬಲವಾಗಿ ಪ್ರೋತ್ಸಾಹಿಸುತ್ತೇವೆ. ನೀವು ನಿಮ್ಮ ಸ್ವಂತ ಅಪಾಯದ ಮೇಲೆ ಈ ವೆಬ್ಸೈಟ್ ಗಳ ಬಳಕೆಯನ್ನು ಮಾಡುತ್ತೀರಿ. ನೀವು ಆಯ್ಕೆಮಾಡುವ ಲಿಂಕ್‌ಗಳು ಅಥವಾ ನೀವು ಡೌನ್‌ಲೋಡ್ ಮಾಡುವ ಯಾವುದೇ ಸಾಫ್ಟ್‌ವೇರ್ ವೈರಸ್‌ಗಳು, ವರ್ಮ್‌ಗಳು, ಟ್ರೋಜನ್ ಹಾರ್ಸ್‌ಗಳು, ದೋಷಗಳು, ದಿನಾಂಕ ಬಾಂಬ್‌ಗಳು, ಟೈಮ್ ಬಾಂಬ್‌ಗಳು ಮತ್ತು ಇತರ ಅಥವಾ ಇತರ ಕಂಪ್ಯೂಟರ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್ ರೂಟೀನ್ ಹೊಂದಿರಬಹುದು ಎಂಬುದನ್ನು ಖಚಿತಪಡಿಸಿಕೊಳ್ಳಲು ಅಗತ್ಯವಾದ ಮುನ್ನೆಚ್ಚರಿಕೆಗಳನ್ನು ತೆಗೆದುಕೊಳ್ಳುವುದು ಸಂಪೂರ್ಣವಾಗಿ ನಿಮಗೆ ಬಿಟ್ಟದ್ದು"
X. ACCESS FROM OUTSIDE INDIA,X. ಭಾರತದ ಹೊರಗಿನಿಂದ ಪ್ರವೇಶ
"The Site is directed to the people residing in India. We do not represent that Content available on or through the Site is appropriate or available in other locations. We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time. If you choose to access the Site from outside India, you do so at your own risk.","ಭಾರತದಲ್ಲಿ ವಾಸಿಸುವ ಜನರಿಗೆ ಸೈಟ್ ಅನ್ನು ನಿರ್ದೇಶಿಸಲಾಗಿದೆ. ಸೈಟ್‌ನಲ್ಲಿ ಅಥವಾ ಅದರ ಮೂಲಕ ಲಭ್ಯವಿರುವ ವಸ್ತುವು ಇತರ ಸ್ಥಳಗಳಲ್ಲಿ ಸೂಕ್ತವಾಗಿದೆ ಅಥವಾ ಲಭ್ಯವಿದೆ ಎಂದು ನಾವು ಪ್ರತಿನಿಧಿಸುವುದಿಲ್ಲ. ನಾವು ಯಾವುದೇ ಸಮಯದಲ್ಲಿ ಯಾವುದೇ ವ್ಯಕ್ತಿ ಅಥವಾ ಭೌಗೋಳಿಕ ಪ್ರದೇಶಕ್ಕೆ ಸೈಟ್ ಅಥವಾ ಸೈಟ್‌ನಲ್ಲಿ ವಿವರಿಸಿದ ಯಾವುದೇ ಸೇವೆ ಅಥವಾ ಉತ್ಪನ್ನದ ಲಭ್ಯತೆಯನ್ನು ಮಿತಿಗೊಳಿಸಬಹುದು. ನೀವು ಭಾರತದ ಹೊರಗಿನಿಂದ ಸೈಟ್ ಅನ್ನು ಪ್ರವೇಶಿಸಲು ಆಯ್ಕೆಮಾಡಿದರೆ, ನೀವು ಅದನ್ನು ನಿಮ್ಮ ಸ್ವಂತ ಜವಾಬ್ದಾರಿಯಲ್ಲಿ ಮಾಡುತ್ತೀರಿ."
XI. VIOLATION OF THESE TERMS,XI. ಈ ನಿಯಮಗಳ ಉಲ್ಲಂಘನೆ
"We may investigate any violation of these Terms, including unauthorized use of the Site. We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you. We may take legal action that we feel is appropriate. If we determine that you have violated these Terms or the law, or for any other reason or for no reason, we may block your account and will prevent you from accessing the Site at any time without notice to you.","ಸೈಟ್‌ನ ಅನಧಿಕೃತ ಬಳಕೆ ಸೇರಿದಂತೆ ಈ ನಿಯಮಗಳ ಯಾವುದೇ ಉಲ್ಲಂಘನೆಯನ್ನು ನಾವು ತನಿಖೆ ಮಾಡಬಹುದು. ನಿಮ್ಮ ಯಾವುದೇ ತನಿಖೆ ಅಥವಾ ಕಾನೂನು ಕ್ರಮದಲ್ಲಿ ಸಹಾಯ ಮಾಡಲು ನಿಮ್ಮ ವಹಿವಾಟುಗಳಿಗೆ ಸಂಬಂಧಿಸಿದ ಮಾಹಿತಿಯನ್ನು ನಾವು ಕಾನೂನಿಗೆ ಒದಗಿಸಬಹುದು. ನಾವು ಸೂಕ್ತವೆನಿಸಿದ ಕಾನೂನು ಕ್ರಮ ತೆಗೆದುಕೊಳ್ಳಬಹುದು. ನೀವು ಈ ನಿಯಮಗಳು ಅಥವಾ ಕಾನೂನನ್ನು ಉಲ್ಲಂಘಿಸಿದ್ದೀರಿ ಎಂದು ನಾವು ನಿರ್ಧರಿಸಿದರೆ ಅಥವಾ ಯಾವುದೇ ಕಾರಣಕ್ಕಾಗಿ ಅಥವಾ ಯಾವುದೇ ಕಾರಣವಿಲ್ಲದೆ, ನಾವು ನಿಮ್ಮ ಖಾತೆಯನ್ನು ನಿರ್ಬಂಧಿಸಬಹುದು ಮತ್ತು ಯಾವುದೇ ಸೂಚನೆಯಿಲ್ಲದೆ ಸೈಟ್ ಅನ್ನು ಪ್ರವೇಶಿಸದಂತೆ ನಿಮ್ಮನ್ನು ತಡೆಯಬಹುದು."
XII. RE-DISTRIBUTION,XII. ಪುನರ್ವಿತರಣೆ
"Authorized organizations shall not re-distribute any data that they are able to access through the API/ No-code webpage integration and shall ensure that integration of all such data shall compulsorily be limited to the specific services provided by Poshan Tracker. Under no circumstances, shall an organization use the data collected as part of the Poshan Abhiyaan of the Government for any purposes other than the purposes specified herein, and as may be permitted by the government.","ಅಧಿಕೃತ ಸಂಸ್ಥೆಗಳು ಅವರು API / ನೋ-ಕೋಡ್ ವೆಬ್‌ಪುಟ ಏಕೀಕರಣದ ಮೂಲಕ ಪಡೆಯಲು ಸಾಧ್ಯವಾಗುವ ಯಾವುದೇ ಡೇಟಾವನ್ನು ಮರುಹಂಚಿಕೆ ಮಾಡಬಾರದು ಮತ್ತು ಅಂತಹ ಎಲ್ಲಾ ಡೇಟಾದ ಏಕೀಕರಣವು ಮೂಲಭೂತವಾಗಿ ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ನೀಡುವ ನಿರ್ದಿಷ್ಟ ಸೇವೆಗಳಿಗೆ ಸೀಮಿತವಾಗಿ ಇರುತ್ತದೆ ಎಂದು ಖಚಿತಪಡಿಸಿಕೊಳ್ಳಬೇಕು. ಯಾವುದೇ ಸಂದರ್ಭಗಳಲ್ಲಿ, ಯಾವುದೇ ಸಂಸ್ಥೆಯು ಸರ್ಕಾರದ ಪೋಶನ್ ಅಭಿಯಾನದ ಭಾಗವಾಗಿ ಸಂಗ್ರಹಿಸಿದ ಡೇಟಾವನ್ನು ಇಲ್ಲಿ ನಿರ್ದಿಷ್ಟಪಡಿಸಿದ ಉದ್ದೇಶಗಳನ್ನು ಹೊರತುಪಡಿಸಿ ಮತ್ತು ಸರ್ಕಾರವು ಅನುಮತಿಸಬಹುದಾದ ಯಾವುದೇ ಉದ್ದೇಶವನ್ನು ಹೊರತುಪಡಿಸಿ ಬೇರೆ ಕೆಲಸಗಳಿಗೆ ಬಳಸುವಂತಿಲ್ಲ."
"XIII. COMPLIANCE WITH LAW, THIRD PARTY RIGHTS, AND OTHER TERMS OF SERVICE","XIII. ಕಾನೂನು, ಥರ್ಡ್ ಪಾರ್ಟಿ ಹಕ್ಕುಗಳು ಮತ್ತು ಇತರ ಸೇವಾ ನಿಯಮಗಳ ಅನುಸರಣೆ"
"The authorized organizations will comply with all applicable laws, regulation, policies and third-party rights (including and without limitation, any laws regarding the import or export of data or software, privacy, and local laws) established by Government of India. These organizations will not use the APIs/ No-code webpage integration to encourage or promote illegal activity or violation of third-party rights including these Terms with Poshan Tracker.","ಅಧಿಕೃತ ಸಂಸ್ಥೆಯು ಭಾರತ ಸರ್ಕಾರದಿಂದ ಸ್ಥಾಪಿಸಲಾದ ಎಲ್ಲಾ ಅನ್ವಯವಾಗುವ ಕಾನೂನುಗಳು, ನಿಬಂಧನೆಗಳು, ನೀತಿಗಳು ಮತ್ತು ಮೂರನೇ ವ್ಯಕ್ತಿಗಳ ಹಕ್ಕುಗಳನ್ನು (ಸೇರಿದಂತೆ ಮತ್ತು ಮಿತಿಯಿಲ್ಲದೆ, ಡೇಟಾ ಅಥವಾ ಸಾಫ್ಟ್‌ವೇರ್, ಗೌಪ್ಯತೆ ಮತ್ತು ಸ್ಥಳೀಯ ಕಾನೂನುಗಳ ಆಮದು ಅಥವಾ ರಫ್ತಿಗೆ ಸಂಬಂಧಿಸಿದ ಯಾವುದೇ ಕಾನೂನುಗಳು) ಅನುಸರಿಸಬೇಕು. ಕಾನೂನುಬಾಹಿರ ಚಟುವಟಿಕೆಗಳನ್ನು ಪ್ರೋತ್ಸಾಹಿಸಲು ಅಥವಾ ಪೋಷನ್ ಟ್ರಾಕರ್ ಜೊತೆ ಇರುವ ನೀತಿಗಳನ್ನು ಒಳಗೊಂಡು ಥರ್ಡ್ ಪಾರ್ಟಿ ಹಕ್ಕುಗಳ ಉಲ್ಲಂಘನೆಯನ್ನು ಉತ್ತೇಜಿಸಲು API/ನೋ-ಕೋಡ್ ವೆಬ್‌ಪುಟ ಏಕೀಕರಣವನ್ನು ಈ ಸಂಸ್ಥೆಗಳು ಬಳಸುವುದಿಲ್ಲ."
XIV. CORRECTNESS OF DATA PROVIDED BY THIRD PARTY SYSTEMS,XIV. ಥರ್ಡ್ ಪಾರ್ಟಿ ವ್ಯವಸ್ಥೆಗಳಿಂದ ಒದಗಿಸಲಾದ ಡೇಟಾದ ನಿಖರತೆ
"The ASPs collecting data from Poshan Tracker and displaying to users shall be solely responsible for the correctness of such data and any liability arising out of any data so provided, shall completely rest with such third party. Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.",ಪೋಷನ್ ಟ್ರ್ಯಾಕರ್‌ನಿಂದ ಡೇಟಾವನ್ನು ಸಂಗ್ರಹಿಸುವ ಮತ್ತು ಅದನ್ನು ಬಳಕೆದಾರರಿಗೆ ಪ್ರದರ್ಶಿಸುವ ASP ಅಂತಹ ಡೇಟಾದ ನಿಖರತೆಗೆ ಸಂಪೂರ್ಣವಾಗಿ ಜವಾಬ್ದಾರನಾಗಿರುತ್ತಾನೆ ಮತ್ತು ಹೀಗೆ ಒದಗಿಸಿದ ಯಾವುದೇ ಡೇಟಾದಿಂದ ಉಂಟಾಗುವ ಯಾವುದೇ ಹೊಣೆಗಾರಿಕೆಯು ಅಂತಹ ಥರ್ಡ್ ಪಾರ್ಟಿ ಜೊತೆಗೆ ಮಾತ್ರ ಇರುತ್ತದೆ. ಯಾವುದೇ ತಪ್ಪಾದ ದತ್ತಾಂಶದಿಂದ ಉಂಟಾಗುವ ಸಿವಿಲ್ ಅಥವಾ ಕ್ರಿಮಿನಲ್ ಹೊಣೆಗಾರಿಕೆಗಳು ಸಂಪೂರ್ಣವಾಗಿ ಸಂಬಂಧಪಟ್ಟ ASP ಯ ಬಳಿ ಇರುತ್ತವೆ.
XV. INDEMNITY AND LIMITATION OF LIABILITY,XV. ನಷ್ಟ ಪರಿಹಾರ ಮತ್ತು ಹೊಣೆಗಾರಿಕೆ ಮಿತಿ
"You agree to defend, indemnify and hold harmless Poshan Tracker and its affiliates, its officers, directors, employees and agents, from and against any and all claims, damages, obligations, losses, liabilities, costs or debt, and expenses including but not limited to attorneys fees relating to any allegation or third-party legal proceeding to the extent arising from:","ಯಾವುದೇ ಮತ್ತು ಎಲ್ಲಾ ಹಕ್ಕುಗಳು, ಹಾನಿಗಳು, ಹೊಣೆಗಾರಿಕೆಗಳು, ನಷ್ಟಗಳು, ಹೊಣೆಗಾರಿಕೆಗಳು, ವೆಚ್ಚಗಳು ಅಥವಾ ಋಣಭಾರಗಳು ಮತ್ತು ವೆಚ್ಚಗಳು ಸೇರಿದಂತೆ, ಆದರೆ ಇವುಗಳಿಗೆ ಸೀಮಿತವಾಗಿರದೆ, ಹಾನಿಕಾರಕವಲ್ಲದ ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಮತ್ತು ಅದರ ಅಂಗಸಂಸ್ಥೆಗಳು, ಅದರ ಅಧಿಕಾರಿಗಳು, ನಿರ್ದೇಶಕರು, ಉದ್ಯೋಗಿಗಳು ಮತ್ತು ಏಜೆಂಟರನ್ನು ನೀವು ರಕ್ಷಿಸುತ್ತೀರಿ, ನಷ್ಟ ಪರಿಹಾರ ನೀಡುತ್ತೀರಿ ಮತ್ತು ಹಿಡಿದಿಟ್ಟುಕೊಳ್ಳುತ್ತೀರಿ. ಮತ್ತು ಹಿಡಿದಿಡಲು ಒಪ್ಪಿಕೊಳ್ಳಿ. ಯಾವುದೇ ಆರೋಪ ಅಥವಾ ಥರ್ಡ್ ಪಾರ್ಟಿ ವ್ಯಕ್ತಿಗಳ ಕಾನೂನು ಪ್ರಕ್ರಿಯೆಗೆ ಸಂಬಂಧಿಸಿದ ವಕೀಲರ ಶುಲ್ಕಗಳು ಇದರಿಂದ ಉಂಟಾಗುವ:"
Your use of and access to the Site and Service;,ಸೈಟ್ ಮತ್ತು ಸೇವೆಗೆ ನಿಮ್ಮ ಬಳಕೆ ಮತ್ತು ಪ್ರವೇಶ;
Your violation of any term of this Agreement;,ನಿಮ್ಮ ಕಡೆಯಿಂದ ಈ ಒಪ್ಪಂದದ ಯಾವುದೇ ನಿಯಮಗಳ ಉಲ್ಲಂಘನೆ;
"Your violation of any third party right, including without limitation, any copyright, property, or privacy right; or","ಯಾವುದೇ ಹಕ್ಕುಸ್ವಾಮ್ಯ, ಆಸ್ತಿ, ಅಥವಾ ಗೌಪ್ಯತೆ ಹಕ್ಕು ಸೇರಿದಂತೆ, ಮಿತಿಯಿಲ್ಲದೆ ಯಾವುದೇ ಥರ್ಡ್ ಪಾರ್ಟಿ ಹಕ್ಕಿನ ನಿಮ್ಮ ಉಲ್ಲಂಘನೆ; ಅಥವಾ"
Any claim that your User Content caused damage to a third party. This defense and indemnification obligation will survive this Agreement and your use of the Service and Website/App.,ನಿಮ್ಮ ಬಳಕೆದಾರರ ವಿಷಯವು ಥರ್ಡ್ ಪಾರ್ಟಿಗೆ ಹಾನಿಯನ್ನುಂಟುಮಾಡಿದೆ ಎಂಬ ಯಾವುದೇ ಹಕ್ಕು. ಈ ರಕ್ಷಣಾ ಮತ್ತು ನಷ್ಟ ಪರಿಹಾರದ ಬಾಧ್ಯತೆಯು ಈ ಒಪ್ಪಂದ ಮತ್ತು ಸೇವೆ ಮತ್ತು ವೆಬ್‌ಸೈಟ್/ಅಪ್ಲಿಕೇಶನ್‌ನ ನಿಮ್ಮ ಬಳಕೆಯನ್ನು ಉಳಿದುಕೊಳ್ಳುತ್ತದೆ.
XVI. JURISDICTION,XVI. ನ್ಯಾಯವ್ಯಾಪ್ತಿ
Your use of the Site and any dispute arising out of such use of the Site is subject to the laws of India and place of jurisdiction shall be New Delhi.,ನಿಮ್ಮ ಸೈಟ್‌ನ ಬಳಕೆ ಮತ್ತು ಸೈಟ್‌ನ ಅಂತಹ ಬಳಕೆಯಿಂದ ಉಂಟಾಗುವ ಯಾವುದೇ ವಿವಾದವು ಭಾರತದ ಕಾನೂನುಗಳಿಗೆ ಒಳಪಟ್ಟಿರುತ್ತದೆ ಮತ್ತು ನ್ಯಾಯವ್ಯಾಪ್ತಿಯ ಸ್ಥಳವು ನವದೆಹಲಿ ಆಗಿರುತ್ತದೆ.
20 December 2021,20 ಡಿಸೆಂಬರ್ 2021
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.","ಪೋಶನ್ ಅಭಿಯಾನವು ತಂತ್ರಜ್ಞಾನ, ಉದ್ದೇಶಿತ ವಿಧಾನ ಮತ್ತು ಒಮ್ಮುಖದ ಮೂಲಕ ಮಕ್ಕಳು, ಹದಿಹರೆಯದವರು, ಗರ್ಭಿಣಿಯರು ಮತ್ತು ಹಾಲುಣಿಸುವ ತಾಯಂದಿರಿಗೆ ಪೌಷ್ಟಿಕಾಂಶದ ಫಲಿತಾಂಶಗಳನ್ನು ಸುಧಾರಿಸಲು ಭಾರತದ ಪ್ರಮುಖ ಕಾರ್ಯಕ್ರಮವಾಗಿದೆ."
"Poshan Tracker Portal or App is governed by Ministry of Woman and Child Development, Government of India, hereinafter referred to as “MWCD”, “our”, “us”, “we” which shall include a reference to other departments and divisions of the program/campaign. References to Poshan Tracker Portal or App in this policy include Poshan Tracker or any other Apps or portals that are integrated with Poshan Tracker through APIs / related sites, apps, communications and services (“Services”) hereinafter collectively referred to as “Poshan Tracker or System.”","ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಪೋರ್ಟಲ್ ಅಥವಾ ಅಪ್ಲಿಕೇಶನ್ ಅನ್ನು ಭಾರತ ಸರ್ಕಾರದ ಮಹಿಳಾ ಮತ್ತು ಮಕ್ಕಳ ಅಭಿವೃದ್ಧಿ ಸಚಿವಾಲಯವು ನಿರ್ವಹಿಸುತ್ತದೆ, ಇನ್ನು ಮುಂದೆ ಇತರ ಇಲಾಖೆಗಳು ಮತ್ತು ವಿಭಾಗಗಳ ಉಲ್ಲೇಖಗಳನ್ನು ಒಳಗೊಂಡಂತೆ ""MWCD"", ""ನಮ್ಮ"", ""ನಾವು"", ""ನಾವು"" ಎಂದು ಉಲ್ಲೇಖಿಸಲಾಗುತ್ತದೆ. ಕಾರ್ಯಕ್ರಮ/ಪ್ರಚಾರ. ಈ ನೀತಿಯು ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಪೋರ್ಟಲ್ ಅಥವಾ ಆ್ಯಪ್ ಟು ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಅಥವಾ ಇನ್ನಾವುದೇ ಆಪ್ ಅಥವಾ ಪೋರ್ಟಲ್ ಅನ್ನು ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್‌ನೊಂದಿಗೆ ಸಂಯೋಜಿತವಾಗಿರುವ API/ಸಂಬಂಧಿತ ಸೈಟ್‌ಗಳು, ಅಪ್ಲಿಕೇಶನ್‌ಗಳು, ಸಂವಹನಗಳು ಮತ್ತು ಸೇವೆಗಳ ಮೂಲಕ (“ಸೇವೆಗಳು”) ಉಲ್ಲೇಖಗಳನ್ನು ಒಳಗೊಂಡಿರುತ್ತದೆ. ""ಪೋಷಣ್ ಟ್ರ್ಯಾಕರ್ ಅಥವಾ ಸಿಸ್ಟಮ್"" ಎಂದು ಕರೆಯಲಾಗುತ್ತದೆ."
"Our Privacy Policy applies when you use our Services (described below). This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how it is used and shared. The collecting and retaining agency in respect of your information is MWCD.","ನೀವು ನಮ್ಮ ಸೇವೆಗಳನ್ನು ಬಳಸುವಾಗ ನಮ್ಮ ಗೌಪ್ಯತಾ ನೀತಿ ಅನ್ವಯಿತರಾಗುತ್ತೀರಿ (ಕೆಳಗೆ ವಿವರಿಸಲಾಗಿದೆ). ನಾವು ಯಾವ ಮಾಹಿತಿಯನ್ನು ಸಂಗ್ರಹಿಸುತ್ತೇವೆ, ಅದನ್ನು ಏಕೆ ಸಂಗ್ರಹಿಸುತ್ತೇವೆ ಮತ್ತು ಅದನ್ನು ಹೇಗೆ ಬಳಸುತ್ತೇವೆ ಮತ್ತು ಹಂಚಿಕೊಳ್ಳುತ್ತೇವೆ ಎಂಬುದನ್ನು ಅರ್ಥಮಾಡಿಕೊಳ್ಳಲು ಈ ಗೌಪ್ಯತಾ ನೀತಿಯು ನಿಮಗೆ ಸಹಾಯ ಮಾಡುತ್ತದೆ. MWCD ಸಂಸ್ಥೆಯು ಅದಕ್ಕೆ ಸಂಬಂಧಿಸಿದಂತೆ ನಿಮ್ಮ ಮಾಹಿತಿಯನ್ನು ಸಂಗ್ರಹಿಸುತ್ತದೆ ಮತ್ತು ನಿರ್ವಹಿಸುತ್ತದೆ."
"We are committed to protecting the security of your personal information and safeguarding your privacy. Any information or data collected and processed on the System is done in accordance with the provisions of Information Technology Act, 2000 read with its Rules and other national and state laws relating to the collection and processing of personal data.","ನಿಮ್ಮ ವೈಯಕ್ತಿಕ ಮಾಹಿತಿಯನ್ನು ರಕ್ಷಿಸಲು ಮತ್ತು ನಿಮ್ಮ ಗೌಪ್ಯತೆಯನ್ನು ರಕ್ಷಿಸಲು ನಾವು ಬದ್ಧರಾಗಿದ್ದೇವೆ. ಸಿಸ್ಟಂನಲ್ಲಿ ಸಂಗ್ರಹಿಸಿದ ಮತ್ತು ಸಂಸ್ಕರಿಸಿದ ಯಾವುದೇ ಮಾಹಿತಿ ಅಥವಾ ಡೇಟಾವನ್ನು ಮಾಹಿತಿ ತಂತ್ರಜ್ಞಾನ ಕಾಯಿದೆ, 2000 ಮತ್ತು ಅದರ ನಿಯಮಗಳು ಮತ್ತು ವೈಯಕ್ತಿಕ ಡೇಟಾದ ಸಂಗ್ರಹಣೆ ಮತ್ತು ಪ್ರಕ್ರಿಯೆಗೆ ಸಂಬಂಧಿಸಿದ ಇತರ ರಾಷ್ಟ್ರೀಯ ಮತ್ತು ರಾಜ್ಯ ಕಾನೂನುಗಳ ನಿಬಂಧನೆಗಳಿಗೆ ಅನುಗುಣವಾಗಿ ಪರಿಗಣಿಸಲಾಗುತ್ತದೆ."
This Privacy Policy is required to be read in conjunction with the Terms of Service available at ,ಈ ಗೌಪ್ಯತಾ ನೀತಿಯನ್ನು 
". Your access to and use of the System is conditional upon your acceptance of this Privacy Policy and the Terms of Service. By accessing and/or using the System, you represent that you have read, understood and are bound by the Terms of Service and this Privacy Policy, and that you consent to your information and data being collected, stored and used in the manner laid out in this Privacy Policy."," ನಲ್ಲಿ ಲಭ್ಯವಿರುವ ಸೇವಾ ನಿಯಮಗಳ ಜೊತೆಯಲ್ಲಿ ಓದುವ ಅಗತ್ಯವಿದೆ. ಈ ಗೌಪ್ಯತೆ ನೀತಿ ಮತ್ತು ಸೇವಾ ನಿಯಮಗಳ ನಿಮ್ಮ ಅಂಗೀಕಾರದ ಮೇಲೆ ನಿಮ್ಮ ಪ್ರವೇಶ ಮತ್ತು ಸಿಸ್ಟಂನ ಬಳಕೆಯು ಷರತ್ತುಬದ್ಧವಾಗಿದೆ. ಸಿಸ್ಟಂ ಅನ್ನು ಪ್ರವೇಶಿಸುವ ಮತ್ತು/ಅಥವಾ ಬಳಸುವ ಮೂಲಕ, ನೀವು ಸೇವೆಯ ನಿಯಮಗಳು ಮತ್ತು ಈ ಗೌಪ್ಯತಾ ನೀತಿಯನ್ನು ಓದಿದ್ದೀರಿ, ಅರ್ಥಮಾಡಿಕೊಂಡಿದ್ದೀರಿ ಮತ್ತು ಬದ್ಧರಾಗಿರುವಿರಿ ಎಂದು ನೀವು ಪ್ರತಿನಿಧಿಸುತ್ತೀರಿ ಮತ್ತು ಒಪ್ಪಿಗೆಯನ್ನು ಸೂಚಿಸಿದ ರೀತಿಯಲ್ಲಿ ನಿಮ್ಮ ಮಾಹಿತಿ ಮತ್ತು ಡೇಟಾವನ್ನು ನೀವು ಸಂಗ್ರಹಿಸುತ್ತೀರಿ, ಸಂಗ್ರಹಿಸುತ್ತೀರಿ ಮತ್ತು ಬಳಸುತ್ತೀರಿ."
