en,pa
Vaccination Schedule,ਟੀਕਾਕਰਨ ਅਨੁਸੂਚੀ
Dashboard,ਡੈਸ਼ਬੋਰਡ
Dashboard,ਡੈਸ਼ਬੋਰਡ
Mission Utkarsh,Mission Utkarsh
Helpdesk,ਹੈਲਪਡੈਸਕ
Beneficiary Redressal,ਲਾਭਪਾਤਰੀ ਨਿਵਾਰਣ
State Helpdesk,ਸਟੇਟ ਹੈਲਪਡੈਸਕ
FAQ,ਅਕਸਰ ਪੁੱਛੇ ਜਾਣ ਵਾਲੇ ਪ੍ਰਸ਼ਨ
Poshan Calculator,ਪੋਸ਼ਣ ਕੈਲਕੁਲੇਟਰ (ਗਣਨ ਯੰਤਰ)
Login,ਲਾਗਇਨ
About Poshan Tracker,ਪੋਸ਼ਣ ਟਰੈਕਰ ਬਾਰੇ
About,ਦੇ ਬਾਰੇ
Poshan Tracker App,ਪੋਸ਼ਣ ਟਰੈਕਰ ਐਪ
"The ‘Poshan Tracker’ is a mobile based application rolled out by the Ministry of Women and Child Development, Government of India on 1st March 2021 through National e-Governance Division (NeGD), Poshan Tracker is an important governance tool. Technology under Poshan Tracker is being leveraged for dynamic identification of stunting, wasting, under-weight prevalence among children and last mile tracking of nutrition service delivery.","ਪੋਸ਼ਣ ਟਰੈਕਰ' ਇੱਕ ਮੋਬਾਈਲ ਅਧਾਰਤ ਐਪਲੀਕੇਸ਼ਨ ਹੈ ਜੋ ਮਹਿਲਾ ਅਤੇ ਬਾਲ ਵਿਕਾਸ ਮੰਤਰਾਲੇ, ਭਾਰਤ ਸਰਕਾਰ ਦੁਆਰਾ 1 ਮਾਰਚ 2021 ਨੂੰ ਨੈਸ਼ਨਲ ਈ-ਗਵਰਨੈਂਸ ਡਿਵੀਜ਼ਨ (NeGD), MyGov ਦੁਆਰਾ ਇੱਕ ਮਹੱਤਵਪੂਰਨ ਗਵਰਨੈਂਸ ਟੂਲ ਵਜੋਂ ਸ਼ੁਰੂ ਕੀਤੀ ਗਈ ਹੈ। ਪੋਸ਼ਣ ਟਰੈਕਰ ਦੇ ਤਹਿਤ ਤਕਨਾਲੋਜੀ ਦਾ ਬੱਚਿਆਂ ਵਿੱਚ ਲਗਾਤਾਰ ਅਵਿਕਸਿਤਤਾ, ਦੁਰਬਲਤਾ, ਘੱਟ ਵਜ਼ਨ ਦੀ ਪਛਾਣ ਅਤੇ ਪੋਸ਼ਣ ਸੇਵਾ ਪ੍ਰਦਾਨ ਕਰਨ ਦੇ ਅਖੀਰ ਤੱਕ ਟਰੈਕਿੰਗ ਲਈ ਲਾਭ ਉਠਾਇਆ ਜਾ ਰਿਹਾ ਹੈ।."
The Poshan Tracker is a job-aid to the Anganwadi worker for efficient delivery of services along with reflection of their efforts. It is a critical and beneficiary-centric service delivery Application under POSHAN Abhiyaan which will promote real time data with analytics.,ਪੋਸ਼ਣ ਟਰੈਕਰ ਆਂਗਣਵਾੜੀ ਵਰਕਰਾਂ ਨੂੰ ਉਨ੍ਹਾਂ ਦੇ ਯਤਨਾਂ ਦੇ ਪ੍ਰਤੀਬਿੰਬ ਦੇ ਨਾਲ ਕੁਸ਼ਲ ਸੇਵਾਵਾਂ ਪ੍ਰਦਾਨ ਕਰਨ ਲਈ ਇੱਕ ਨੌਕਰੀ-ਸਹਾਇਤਾ ਹੈ। ਇਹ ਪੋਸ਼ਣ ਅਭਿਆਨ ਦੇ ਤਹਿਤ ਇੱਕ ਮਹੱਤਵਪੂਰਨ ਅਤੇ ਲਾਭਪਾਤਰੀ-ਕੇਂਦ੍ਰਿਤ ਸੇਵਾ ਡਿਲੀਵਰੀ ਐਪਲੀਕੇਸ਼ਨ ਹੈ ਜੋ ਵਿਸ਼ਲੇਸ਼ਣ ਦੇ ਨਾਲ ਅਸਲ ਸਮੇਂ ਦੇ ਡੇਟਾ ਨੂੰ ਉਤਸ਼ਾਹਿਤ ਕਰੇਗੀ।.
Services availed by,Services availed by
Beneficiaries at Anaganwadi Center,Beneficiaries at Anaganwadi Center
Take Home Ration,ਰਾਸ਼ਨ ਘਰ ਲਿਜਾਉ
Hot Cooked Meal,ਗਰਮ ਪਕਾਇਆ ਭੋਜਨ
Morning Snacks,Morning Snacks
Nutrition and,Nutrition and
 Health checkup, Health checkup
WHAT ARE,ਕੀ ਹਨ
Poshan Tracker Features,ਪੋਸ਼ਣ ਟਰੈਕਰ ਵਿਸ਼ੇਸ਼ਤਾਵਾਂ
Real time recording and Monitoring,ਵਾਸਤਵਿਕ ਸਮਾਂ ਰਿਕਾਰਡਿੰਗ ਅਤੇ ਨਿਗਰਾਨੀ
"The Poshan Tracker enables real-time monitoring and tracking of all AWCs and beneficiaries on defined indicators. It is built using centralized data architecture that also aligns with the digital technology systems of other ministries and programs. The objective is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The public dashboard helps to impart transparency on services delivered to beneficiaries.","ਪੋਸ਼ਣ ਟਰੈਕਰ ਪਰਿਭਾਸ਼ਿਤ ਸੂਚਕਾਂ 'ਤੇ ਸਾਰੇ ਆਂਗਣਵਾੜੀ ਕੇਂਦਰਾਂ(AWCs) ਅਤੇ ਲਾਭਪਾਤਰੀਆਂ ਦੀ ਅਸਲ-ਸਮੇਂ ਦੀ ਨਿਗਰਾਨੀ ਅਤੇ ਟਰੈਕਿੰਗ ਨੂੰ ਸਮਰੱਥ ਬਣਾਉਂਦਾ ਹੈ। ਇਹ ਕੇਂਦਰੀਕ੍ਰਿਤ ਡਾਟਾ ਆਰਕੀਟੈਕਚਰ ਦੀ ਵਰਤੋਂ ਕਰਕੇ ਬਣਾਇਆ ਗਿਆ ਹੈ ਜੋ ਦੂਜੇ ਮੰਤਰਾਲਿਆਂ ਅਤੇ ਪ੍ਰੋਗਰਾਮਾਂ ਦੇ ਡਿਜੀਟਲ ਤਕਨਾਲੋਜੀ ਪ੍ਰਣਾਲੀਆਂ ਨਾਲ ਵੀ ਮੇਲ ਖਾਂਦਾ ਹੈ। ਇਸਦਾ ਉਦੇਸ਼ ਆਂਗਣਵਾੜੀ ਕੇਂਦਰ (AWC) ਦੀਆਂ ਗਤੀਵਿਧੀਆਂ, ਆਂਗਣਵਾੜੀ ਵਰਕਰਾਂ (AWWs) ਦੀਆਂ ਸੇਵਾਵਾਂ ਅਤੇ ਗਰਭਵਤੀ ਔਰਤਾਂ, ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀਆਂ ਮਾਵਾਂ ਅਤੇ ਬੱਚਿਆਂ ਲਈ ਸੰਪੂਰਨ ਲਾਭਪਾਤਰੀ ਪ੍ਰਬੰਧਨ ਦਾ 360-ਡਿਗਰੀ ਮੁਆਇਨਾ ਪ੍ਰਦਾਨ ਕਰਨਾ ਹੈ। ਪਬਲਿਕ ਡੈਸ਼ਬੋਰਡ ਲਾਭਪਾਤਰੀਆਂ ਨੂੰ ਦਿੱਤੀਆਂ ਜਾਣ ਵਾਲੀਆਂ ਸੇਵਾਵਾਂ 'ਤੇ ਪਾਰਦਰਸ਼ਤਾ ਪ੍ਰਦਾਨ ਕਰਨ ਵਿੱਚ ਮਦਦ ਕਰਦਾ ਹੈ."
Services Delivered,ਸੇਵਾਵਾਂ ਪ੍ਰਦਾਨ ਕੀਤੀਆਂ ਗਈਆਂ
"Tracking of services to the end beneficiary at a click of a button. Services like Take Home Ration (THR) and Hot cooked Meal (HCM), vaccination for Infants and Pregnant Women.","ਇੱਕ ਬਟਨ ਦੇ ਕਲਿੱਕ ਨਾਲ ਅੰਤਮ ਲਾਭਪਾਤਰੀ ਨੂੰ ਸੇਵਾਵਾਂ ਦੀ ਟ੍ਰੈਕਿੰਗ। ਰਾਸ਼ਨ ਘਰ ਲਿਜਾਉ (THR) ਅਤੇ ਗਰਮ ਪਕਾਇਆ ਭੋਜਨ (HCM), ਬੱਚਿਆਂ ਅਤੇ ਗਰਭਵਤੀ ਔਰਤਾਂ ਲਈ ਟੀਕਾਕਰਨ ਵਰਗੀਆਂ ਸੇਵਾਵਾਂ."
Growth Measurement,ਵਿਕਾਸ ਮਾਪ
"Children of different age groups are monitored on monthly basis by AWWs. Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards. Regular growth monitoring helps AWWs to provide relevant and timely assistance to children.","ਆਂਗਣਵਾੜੀ ਵਰਕਰਾਂ (AWWs) ਦੁਆਰਾ ਵੱਖ-ਵੱਖ ਉਮਰ ਸਮੂਹਾਂ ਦੇ ਬੱਚਿਆਂ ਦੀ ਮਾਸਿਕ ਆਧਾਰ 'ਤੇ ਨਿਗਰਾਨੀ ਕੀਤੀ ਜਾਂਦੀ ਹੈ। ਸਿਹਤ ਸੂਚਕਾਂ ਜਿਵੇਂ ਕਿ ਅਵਿਕਸਿਤਟਾ, ਦੁਰਬਲਤਾ ਅਤੇ ਘੱਟ ਭਾਰ ਦਾ ਪ੍ਰਚਲਨ WHO ਦੇ ਮਾਪਦੰਡਾਂ ਅਨੁਸਾਰ ਮਾਪਿਆ ਜਾਂਦਾ ਹੈ। ਨਿਯਮਤ ਵਾਧੇ ਦੀ ਨਿਗਰਾਨੀ ਆਂਗਣਵਾੜੀ ਵਰਕਰਾਂ (AWWs) ਨੂੰ ਬੱਚਿਆਂ ਨੂੰ ਢੁਕਵੀਂ ਅਤੇ ਸਮੇਂ ਸਿਰ ਸਹਾਇਤਾ ਪ੍ਰਦਾਨ ਕਰਨ ਵਿੱਚ ਮਦਦ ਕਰਦੀ ਹੈ."
Home Visit Alerts,ਹੋਮ ਵਿਜ਼ਿਟ ਅਲਰਟ
"The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries. It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers. This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact.","ਪੋਸ਼ਨ ਟਰੈਕਰ ਆਖਰੀ-ਮੀਲ ਦੇ ਨਾਜ਼ੁਕ ਲਾਭਪਾਤਰੀਆਂ ਲਈ ਸਵੈਚਲਿਤ ਚੇਤਾਵਨੀਆਂ ਤਿਆਰ ਕਰਦਾ ਹੈ। ਇਹ ਲਾਭਪਾਤਰੀਆਂ ਅਤੇ ਡਿਊਟੀ ਧਾਰਕਾਂ ਦੀ ਅਸਲ ਸਮੇਂ ਦੀ ਹਾਜ਼ਰੀ ਦਾ ਪ੍ਰਸਤੁਤੀਕਰਨ ਕਰਕੇ ਡਿਲੀਵਰੀ ਪ੍ਰਣਾਲੀ ਦਾ ਕੁਸ਼ਲ ਆਡਿਟ ਵੀ ਯਕੀਨੀ ਬਣਾਉਂਦਾ ਹੈ। ਇਹ ਪ੍ਰਬੰਧਨ ਸੂਚਨਾ ਪ੍ਰਣਾਲੀ ਪੋਸ਼ਣ ਪ੍ਰੋਗਰਾਮ ਨੂੰ ਕੁਸ਼ਲਤਾ ਨਾਲ ਸਕੇਲ ਕਰਨ ਵਿੱਚ ਮਦਦ ਕਰੇਗੀ, ਇਸ ਤਰ੍ਹਾਂ ਸਕਾਰਾਤਮਕ ਪ੍ਰਭਾਵ ਪੈਦਾ ਕਰਨ ਅਤੇ ਦਸਤਾਵੇਜ਼ ਬਣਾਉਣ ਵਿੱਚ."
Support,ਸਹਿਯੋਗ
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,ਮੋਬਾਈਲ ਐਪ ਡਾਊਨਲੋਡ ਕਰੋ
Powered By,Powered By
About,ਦੇ ਬਾਰੇ
Resources,ਸਰੋਤ
Dashboard,ਡੈਸ਼ਬੋਰਡ
Helpdesk,ਹੈਲਪਡੈਸਕ
FAQ,ਅਕਸਰ ਪੁੱਛੇ ਜਾਣ ਵਾਲੇ ਪ੍ਰਸ਼ਨ
Poshan Calculator,ਪੋਸ਼ਣ ਕੈਲਕੁਲੇਟਰ (ਗਣਨ ਯੰਤਰ)
Terms of Service,ਸੇਵਾ ਦੀਆਂ ਸ਼ਰਤਾਂ
Privacy Policy,ਗੋਪਨੀਅਤਾ ਨੀਤੀ
Careers,ਕਰੀਅਰ
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA ( ਸਵਾਸਥ ਆਈ ਡੀ)
Language,ਭਾਸ਼ਾ
About,ਦੇ ਬਾਰੇ
Resources,ਸਰੋਤ
Resources,ਸਰੋਤ
Vaccination Schedule,ਟੀਕਾਕਰਨ ਅਨੁਸੂਚੀ
Dashboard,ਡੈਸ਼ਬੋਰਡ
Dashboard,ਡੈਸ਼ਬੋਰਡ
Mission Utkarsh,Mission Utkarsh
Helpdesk,ਹੈਲਪਡੈਸਕ
Beneficiary Redressal,ਲਾਭਪਾਤਰੀ ਨਿਵਾਰਣ
State Helpdesk,ਸਟੇਟ ਹੈਲਪਡੈਸਕ
FAQ,ਅਕਸਰ ਪੁੱਛੇ ਜਾਣ ਵਾਲੇ ਪ੍ਰਸ਼ਨ
Poshan Calculator,ਪੋਸ਼ਣ ਕੈਲਕੁਲੇਟਰ (ਗਣਨ ਯੰਤਰ)
Login,ਲਾਗਇਨ
Resources,ਸਰੋਤ
Learning Videos,ਸਿੱਖਣ ਲਈ ਵੀਡੀਓਜ਼
How to take care of weak newborn with the help of Kangaroo Mother Care,ਕੰਗਾਰੂ ਮਦਰ ਕੇਅਰ ਦੀ ਮਦਦ ਨਾਲ ਕਮਜ਼ੋਰ ਨਵਜੰਮੇ ਬੱਚੇ ਦੀ ਦੇਖਭਾਲ ਕਿਵੇਂ ਕਰੀਏ
Preventing illnesses to avert Malnutrition and Death,ਕੁਪੋਸ਼ਣ ਅਤੇ ਮੌਤ ਨੂੰ ਟਾਲਣ ਲਈ ਬਿਮਾਰੀਆਂ ਦੀ ਰੋਕਥਾਮ
Prevention of Anemia in children and adolescents girls,ਬੱਚਿਆਂ ਅਤੇ ਕਿਸ਼ੋਰ ਲੜਕੀਆਂ ਵਿੱਚ ਅਨੀਮੀਆ ਦੀ ਰੋਕਥਾਮ
Birth Preparedness- For Institutional and Home Delivery,ਜਨਮ ਦੀ ਤਿਆਰੀ- ਸੰਸਥਾਗਤ ਅਤੇ ਹੋਮ ਡਿਲਿਵਰੀ ਲਈ
Care of the weak newborn baby - How many weak babies are we missing?,ਕਮਜ਼ੋਰ ਨਵਜੰਮੇ ਬੱਚੇ ਦੀ ਦੇਖਭਾਲ - ਅਸੀਂ ਕਿੰਨੇ ਕਮਜ਼ੋਰ ਬੱਚੇ ਗੁਆ ਰਹੇ ਹਾਂ?
Feeding During Illness,ਬਿਮਾਰੀ ਦੇ ਦੌਰਾਨ ਖੁਆਉਣਾ
Preparation During Pregnancy - For NewBorn Care & Family Planning,ਗਰਭ ਅਵਸਥਾ ਦੌਰਾਨ ਤਿਆਰੀ - ਨਵਜੰਮੇ ਬੱਚਿਆਂ ਦੀ ਦੇਖਭਾਲ ਅਤੇ ਪਰਿਵਾਰ ਨਿਯੋਜਨ ਲਈ
Ensuring Exclusive Breastfeeding,ਵਿਸ਼ੇਸ਼ ਤੌਰ ਤੇ ਛਾਤੀ ਦਾ ਦੁੱਧ ਚੁੰਘਾਉਣਾ ਯਕੀਨੀ ਬਣਾਉਣਾ
Assessment of growth in children,ਬੱਚਿਆਂ ਵਿੱਚ ਵਿਕਾਸ ਦਾ ਮੁਲਾਂਕਣ
Preventing anemia in women,ਔਰਤਾਂ ਵਿੱਚ ਅਨੀਮੀਆ ਨੂੰ ਰੋਕਣਾ
Complementary Feeding - Diet Diversity,ਪੂਰਕ ਆਹਾਰ - ਖੁਰਾਕ ਵਿਭਿੰਨਤਾ
Identification and care of a Weak Newborn baby,ਕਮਜ਼ੋਰ ਨਵਜੰਮੇ ਬੱਚੇ ਦੀ ਪਛਾਣ ਅਤੇ ਦੇਖਭਾਲ
Observing Breastfeeding In Newborn Babies,ਨਵਜੰਮੇ ਬੱਚਿਆਂ ਲਈ ਛਾਤੀ ਦੇ ਦੁੱਧ ਦਾ ਨਿਰੀਖਣ
Planning And Organising Community Based Events At AWC,ਆਂਗਣਵਾੜੀ ਸੈਂਟਰ (ਏਡਬਲਯੂਸੀ) ਵਿਖੇ ਕਮਿਊਨਿਟੀ ਆਧਾਰਿਤ ਸਮਾਗਮਾਂ ਦੀ ਯੋਜਨਾਬੰਦੀ ਅਤੇ ਆਯੋਜਨ ਕਰਨਾ
Making or Updating Home Visit Planner and Initiating home visits,ਹੋਮ ਵਿਜ਼ਿਟ ਪਲੈਨਰ ਬਣਾਉਣਾ ਜਾਂ ਅੱਪਡੇਟ ਕਰਨਾ ਅਤੇ ਘਰੇਲੂ ਮੁਲਾਕਾਤਾਂ ਦੀ ਸ਼ੁਰੂਆਤ ਕਰਨਾ
Ensuring that complementary feeding improves over time,ਇਹ ਯਕੀਨੀ ਬਣਾਉਣਾ ਕਿ ਸਮੇਂ ਦੇ ਨਾਲ ਪੂਰਕ ਆਹਾਰ ਵਿੱਚ ਸੁਧਾਰ ਹੋਵੇ
How to ensure timely initiation of complementary feeding,ਪੂਰਕ ਆਹਾਰ ਦੀ ਸਮੇਂ ਸਿਰ ਸ਼ੁਰੂਆਤ ਨੂੰ ਕਿਵੇਂ ਯਕੀਨੀ ਬਣਾਇਆ ਜਾਵੇ
Identifying and preventing Severe Acute Malnutrition,ਗੰਭੀਰ ਤੀਬਰ ਕੁਪੋਸ਼ਣ ਦੀ ਪਛਾਣ ਕਰਨਾ ਅਤੇ ਰੋਕਣਾ
Identification & Referral of Sick Newborn,ਬਿਮਾਰ ਨਵਜੰਮੇ ਬੱਚੇ ਦੀ ਪਛਾਣ ਅਤੇ ਰੈਫਰ ਕਰਨਾ
Supporting mothers with issues in Breastfeeding,ਛਾਤੀ ਦਾ ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਿੱਚ ਸਮੱਸਿਆਵਾਂ ਵਾਲੀਆਂ ਮਾਵਾਂ ਦੀ ਸਹਾਇਤਾ ਕਰਨਾ
Why this Monthly Meeting?,ਇਹ ਮਹੀਨਾਵਾਰ ਮੀਟਿੰਗ ਕਿਉਂ?
Awareness,ਜਾਗਰੂਕਤਾ
ALL ,ਸਾਰੇ 
GENERAL ,ਜਨਰਲ (ਆਮ) 
Pregnant Women , ਗਰਭਵਤੀ .ਰਤਾਂ 
Lactating Mothers ,ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀਆਂ ਮਾਵਾਂ 
CHILD CARE ,ਬੱਚਿਆਂ ਦੀ ਦੇਖਭਾਲ 
General,General
General Awareness about Home Visit Scheduler,General Awareness about Home Visit Scheduler
Download PDF,ਪੀਡੀਐਫ਼ (PDF) ਡਾਊਨਲੋਡ ਕਰੋ
General,General
General Awareness about Growth Monitoring of Children,ਬੱਚਿਆਂ ਦੇ ਵਿਕਾਸ ਦੀ ਨਿਗਰਾਨੀ ਬਾਰੇ ਆਮ ਜਾਗਰੂਕਤਾ
Download PDF,ਪੀਡੀਐਫ਼ (PDF) ਡਾਊਨਲੋਡ ਕਰੋ
General,General
General Awareness about preventing illness in Children,ਬੱਚਿਆਂ ਵਿੱਚ ਬਿਮਾਰੀ ਦੀ ਰੋਕਥਾਮ ਬਾਰੇ ਆਮ ਜਾਗਰੂਕਤਾ
Download PDF,ਪੀਡੀਐਫ਼ (PDF) ਡਾਊਨਲੋਡ ਕਰੋ
General,General
General Awareness for Pregnancy,ਗਰਭ ਅਵਸਥਾ ਲਈ ਆਮ ਜਾਗਰੂਕਤਾ
Download PDF,ਪੀਡੀਐਫ਼ (PDF) ਡਾਊਨਲੋਡ ਕਰੋ
General,General
General Awareness on Module,ਮੋਡੀਊਲ 'ਤੇ ਆਮ ਜਾਗਰੂਕਤਾ
Download PDF,ਪੀਡੀਐਫ਼ (PDF) ਡਾਊਨਲੋਡ ਕਰੋ
General,General
General Awareness on Anaemia,ਅਨੀਮੀਆ 'ਤੇ ਆਮ ਜਾਗਰੂਕਤਾ
Download PDF,ਪੀਡੀਐਫ਼ (PDF) ਡਾਊਨਲੋਡ ਕਰੋ
General,General
General Awareness on SAM and MAM,ਐੱਸਏਐਮ(SAM) ਅਤੇ ਐਮਏਐਮ (MAM)ਬਾਰੇ ਆਮ ਜਾਗਰੂਕਤਾ
Download PDF,ਪੀਡੀਐਫ਼ (PDF) ਡਾਊਨਲੋਡ ਕਰੋ
General,General
General Awareness on Mother Care,ਮਾਂ ਦੀ ਦੇਖਭਾਲ ਬਾਰੇ ਆਮ ਜਾਗਰੂਕਤਾ
Download PDF,ਪੀਡੀਐਫ਼ (PDF) ਡਾਊਨਲੋਡ ਕਰੋ
General,General
General Awareness on the Delivery of the child,ਬੱਚੇ ਦੀ ਡਿਲੀਵਰੀ 'ਤੇ ਆਮ ਜਾਗਰੂਕਤਾ
Download PDF,ਪੀਡੀਐਫ਼ (PDF) ਡਾਊਨਲੋਡ ਕਰੋ
Pregnant Women, ਗਰਭਵਤੀ .ਰਤਾਂ
Awareness for Pregnancy in Preventing Anemia,ਅਨੀਮੀਆ ਨੂੰ ਰੋਕਣ ਲਈ ਗਰਭ ਅਵਸਥਾ ਬਾਰੇ ਜਾਗਰੂਕਤਾ
Download PDF,ਪੀਡੀਐਫ਼ (PDF) ਡਾਊਨਲੋਡ ਕਰੋ
Lactating Mothers,ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀਆਂ ਮਾਵਾਂ
Awareness for Lactating Mother Complimentary Feeding for Children,ਬੱਚਿਆਂ ਲਈ ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀ ਮਾਂ ਦੇ ਪੂਰਕ ਆਹਾਰ ਲਈ ਜਾਗਰੂਕਤਾ
Download PDF,ਪੀਡੀਐਫ਼ (PDF) ਡਾਊਨਲੋਡ ਕਰੋ
Lactating Mothers,ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀਆਂ ਮਾਵਾਂ
Awareness to Lactating Mother,ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀ ਮਾਂ ਪ੍ਰਤੀ ਜਾਗਰੂਕਤਾ
Download PDF,ਪੀਡੀਐਫ਼ (PDF) ਡਾਊਨਲੋਡ ਕਰੋ
Child Care,Child Care
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","ਕੁਪੋਸ਼ਣ ਨੂੰ ਰੋਕਣ ਲਈ ਬੱਚਿਆਂ ਵਿੱਚ ਰੁਕੇ ਹੋਏ ਵਾਧੇ, ਦੁਰਬਲਤਾ ਪ੍ਰਤੀ ਜਾਗਰੂਕਤਾ"
Download PDF,ਪੀਡੀਐਫ਼ (PDF) ਡਾਊਨਲੋਡ ਕਰੋ
General Awareness about Home Visit Scheduler,General Awareness about Home Visit Scheduler
Download PDF,ਪੀਡੀਐਫ਼ (PDF) ਡਾਊਨਲੋਡ ਕਰੋ
General Awareness about Growth Monitoring of Children,ਬੱਚਿਆਂ ਦੇ ਵਿਕਾਸ ਦੀ ਨਿਗਰਾਨੀ ਬਾਰੇ ਆਮ ਜਾਗਰੂਕਤਾ
Download PDF,ਪੀਡੀਐਫ਼ (PDF) ਡਾਊਨਲੋਡ ਕਰੋ
General Awareness about preventing illness in Children,ਬੱਚਿਆਂ ਵਿੱਚ ਬਿਮਾਰੀ ਦੀ ਰੋਕਥਾਮ ਬਾਰੇ ਆਮ ਜਾਗਰੂਕਤਾ
Download PDF,ਪੀਡੀਐਫ਼ (PDF) ਡਾਊਨਲੋਡ ਕਰੋ
General Awareness for Pregnancy,ਗਰਭ ਅਵਸਥਾ ਲਈ ਆਮ ਜਾਗਰੂਕਤਾ
Download PDF,ਪੀਡੀਐਫ਼ (PDF) ਡਾਊਨਲੋਡ ਕਰੋ
General Awareness on Module,ਮੋਡੀਊਲ 'ਤੇ ਆਮ ਜਾਗਰੂਕਤਾ
Download PDF,ਪੀਡੀਐਫ਼ (PDF) ਡਾਊਨਲੋਡ ਕਰੋ
General Awareness on Anaemia,ਅਨੀਮੀਆ 'ਤੇ ਆਮ ਜਾਗਰੂਕਤਾ
Download PDF,ਪੀਡੀਐਫ਼ (PDF) ਡਾਊਨਲੋਡ ਕਰੋ
General Awareness on SAM and MAM,ਐੱਸਏਐਮ(SAM) ਅਤੇ ਐਮਏਐਮ (MAM)ਬਾਰੇ ਆਮ ਜਾਗਰੂਕਤਾ
Download PDF,ਪੀਡੀਐਫ਼ (PDF) ਡਾਊਨਲੋਡ ਕਰੋ
General Awareness on Mother Care,ਮਾਂ ਦੀ ਦੇਖਭਾਲ ਬਾਰੇ ਆਮ ਜਾਗਰੂਕਤਾ
Download PDF,ਪੀਡੀਐਫ਼ (PDF) ਡਾਊਨਲੋਡ ਕਰੋ
General Awareness on the Delivery of the child,ਬੱਚੇ ਦੀ ਡਿਲੀਵਰੀ 'ਤੇ ਆਮ ਜਾਗਰੂਕਤਾ
Download PDF,ਪੀਡੀਐਫ਼ (PDF) ਡਾਊਨਲੋਡ ਕਰੋ
Awareness for Pregnancy in Preventing Anemia,ਅਨੀਮੀਆ ਨੂੰ ਰੋਕਣ ਲਈ ਗਰਭ ਅਵਸਥਾ ਬਾਰੇ ਜਾਗਰੂਕਤਾ
Download PDF,ਪੀਡੀਐਫ਼ (PDF) ਡਾਊਨਲੋਡ ਕਰੋ
Awareness for Lactating Mother Complimentary Feeding for Children,ਬੱਚਿਆਂ ਲਈ ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀ ਮਾਂ ਦੇ ਪੂਰਕ ਆਹਾਰ ਲਈ ਜਾਗਰੂਕਤਾ
Download PDF,ਪੀਡੀਐਫ਼ (PDF) ਡਾਊਨਲੋਡ ਕਰੋ
Awareness to Lactating Mother,ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀ ਮਾਂ ਪ੍ਰਤੀ ਜਾਗਰੂਕਤਾ
Download PDF,ਪੀਡੀਐਫ਼ (PDF) ਡਾਊਨਲੋਡ ਕਰੋ
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","ਕੁਪੋਸ਼ਣ ਨੂੰ ਰੋਕਣ ਲਈ ਬੱਚਿਆਂ ਵਿੱਚ ਰੁਕੇ ਹੋਏ ਵਾਧੇ, ਦੁਰਬਲਤਾ ਪ੍ਰਤੀ ਜਾਗਰੂਕਤਾ"
Download PDF,ਪੀਡੀਐਫ਼ (PDF) ਡਾਊਨਲੋਡ ਕਰੋ
Growth Monitoring Assessment Charts,ਵਿਕਾਸ ਨਿਗਰਾਨੀ ਮੁਲਾਂਕਣ ਚਾਰਟ
Stunted Assessment Parameters,ਰੁਕੇ ਹੋਏ ਵਾਧੇ ਦਾ ਮੁਲਾਂਕਣ ਦਾ ਮਾਪਦੰਡ
Download PDF,ਪੀਡੀਐਫ਼ (PDF) ਡਾਊਨਲੋਡ ਕਰੋ
Wasted Assessment Parameters,ਦੁਰਬਲਤਾ ਦੇ ਮੁਲਾਂਕਣ ਦਾ ਮਾਪਦੰਡ
Download PDF,ਪੀਡੀਐਫ਼ (PDF) ਡਾਊਨਲੋਡ ਕਰੋ
Underweight Assessment Parameters,ਘੱਟ ਭਾਰ ਮੁਲਾਂਕਣ ਮਾਪਦੰਡ
Download PDF,ਪੀਡੀਐਫ਼ (PDF) ਡਾਊਨਲੋਡ ਕਰੋ
Manuals,ਦਸਤਾਵੇਜ਼
Poshan Tracker Process Flow,ਪੋਸ਼ਨ ਟ੍ਰੈਕਰ ਪ੍ਰਕਿਰਿਆ ਦਾ ਪ੍ਰਵਾਹ
Download PDF,ਪੀਡੀਐਫ਼ (PDF) ਡਾਊਨਲੋਡ ਕਰੋ
