en,ml
"Children of different age groups are monitored on monthly basis by AWWs. Health indicators like Stunting, Wasting and Underweight prevalence are measured as per WHO standards. Regular growth monitoring helps AWWs to provide relevant and timely assistance to children.","വിവിധ പ്രായത്തിലുള്ള കുട്ടികളെ AWW-കൾ പ്രതിമാസം നിരീക്ഷിക്കുന്നു. ആരോഗ്യ സൂചകങ്ങളായ മുരടിപ്പ്, ക്ഷീണം, ഭാരക്കുറവ് എന്നിവയുടെ വ്യാപനം ലോകാരോഗ്യ സംഘടനയുടെ മാനദണ്ഡങ്ങൾക്കനുസരിച്ചാണ് അളക്കുന്നത്. ക്രമമായ വളർച്ചാ നിരീക്ഷണം കുട്ടികൾക്ക് പ്രസക്തവും സമയബന്ധിതവുമായ സഹായം നൽകാൻ AWW-കളെ സഹായിക്കുന്നു."
Home Visit Alerts,ഹോം വിസിറ്റ് അലേർട്ടുകൾ
"The Poshan Tracker generates automated alerts to the critical last-mile beneficiaries. It also ensures efficient audit of the delivery system by documenting real time attendance of beneficiaries and duty bearers. This management information system will help the nutrition programme to scale efficiently, thereby generating and documenting positive impact.","നിർണ്ണായകമായ അവസാന മൈൽ ഗുണഭോക്താക്കൾക്ക് പോഷൻ ട്രാക്കർ ഓട്ടോമേറ്റഡ് അലേർട്ടുകൾ സൃഷ്ടിക്കുന്നു. ഗുണഭോക്താക്കളുടെയും ഡ്യൂട്ടി വഹിക്കുന്നവരുടെയും തത്സമയ ഹാജർ രേഖപ്പെടുത്തുന്നതിലൂടെ ഡെലിവറി സംവിധാനത്തിന്റെ കാര്യക്ഷമമായ ഓഡിറ്റും ഇത് ഉറപ്പാക്കുന്നു. .ഈ മാനേജ്മെന്റ് ഇൻഫർമേഷൻ സിസ്റ്റം പോഷകാഹാര പരിപാടിയെ കാര്യക്ഷമമായി സ്കെയിൽ ചെയ്യാൻ സഹായിക്കും, അതുവഴി നല്ല സ്വാധീനം സൃഷ്ടിക്കുകയും രേഖപ്പെടുത്തുകയും ചെയ്യും."
Support,പിന്തുണ
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,മൊബൈൽ ആപ്പ് ഡൗൺലോഡ് ചെയ്യുക
Powered By,Powered By
About,കുറിച്
Resources,വിഭവങ്ങൾ
Dashboard,ഡാഷ്ബോർഡ്
Helpdesk,ഹെൽപ്പ് ഡെസ്ക്
FAQ,പതിവുചോദ്യങ്ങൾ
Poshan Calculator,പോഷൻ കാൽക്കുലേറ്റർ
Terms of Service,സേവന നിബന്ധനകൾ
Privacy Policy,സ്വകാര്യതാനയം
Careers,തൊഴിലവസരങ്ങൾ
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (ഹെൽത്ത് ഐഡി)
Language,ഭാഷ
About,കുറിച്
Resources,വിഭവങ്ങൾ
Resources,വിഭവങ്ങൾ
Vaccination Schedule,വാക്സിനേഷൻ ഷെഡ്യൂൾ
Dashboard,ഡാഷ്ബോർഡ്
Dashboard,ഡാഷ്ബോർഡ്
Mission Utkarsh,Mission Utkarsh
Helpdesk,ഹെൽപ്പ് ഡെസ്ക്
Beneficiary Redressal,ഗുണഭോക്താക്കളുടെ പരിഹാരം
State Helpdesk,സംസ്ഥാന സഹായകേന്ദ്രം
FAQ,പതിവുചോദ്യങ്ങൾ
Poshan Calculator,പോഷൻ കാൽക്കുലേറ്റർ
Login,ലോഗിൻ
Resources,വിഭവങ്ങൾ
Learning Videos,പഠന വീഡിയോകൾ
❮,❮
How to take care of weak newborn with the help of Kangaroo Mother Care,കംഗാരു മദർ കെയറിന്റെ സഹായത്തോടെ ദുർബലമായ നവജാതശിശുവിനെ എങ്ങനെ പരിപാലിക്കാം
Preventing illnesses to avert Malnutrition and Death,പോഷകാഹാരക്കുറവും മരണവും ഒഴിവാക്കാൻ രോഗങ്ങൾ തടയുന്നു
Prevention of Anemia in children and adolescents girls,കുട്ടികളിലും കൗമാരക്കാരായ പെൺകുട്ടികളിലും വിളർച്ച തടയൽ
Birth Preparedness- For Institutional and Home Delivery,ജനന തയ്യാറെടുപ്പ്- സ്ഥാപനപരവും ഹോം ഡെലിവറിക്കും
Care of the weak newborn baby - How many weak babies are we missing?,ആഴ്ചയിലെ നവജാത ശിശുവിന്റെ സംരക്ഷണം - എത്ര ആഴ്ചകളിലെ കുഞ്ഞുങ്ങളെ നമുക്ക് കാണാതാവുന്നു?
Feeding During Illness,അസുഖ സമയത്ത് ഭക്ഷണം
Preparation During Pregnancy - For NewBorn Care & Family Planning,ഗർഭകാലത്തെ തയ്യാറെടുപ്പുകൾ - നവജാത ശിശു സംരക്ഷണത്തിനും കുടുംബാസൂത്രണത്തിനും
Ensuring Exclusive Breastfeeding,എക്സ്ക്ലൂസീവ് മുലയൂട്ടൽ ഉറപ്പാക്കുന്നു
Assessment of growth in children,കുട്ടികളിലെ വളർച്ചയുടെ വിലയിരുത്തൽ
Preventing anemia in women,സ്ത്രീകളിൽ വിളർച്ച തടയുന്നു
Complementary Feeding - Diet Diversity,കോംപ്ലിമെന്ററി ഫീഡിംഗ് - ഭക്ഷണ വൈവിധ്യം
Identification and care of a Weak Newborn baby,ദുർബലമായ നവജാത ശിശുവിന്റെ തിരിച്ചറിയലും പരിചരണവും
Observing Breastfeeding In Newborn Babies,നവജാത ശിശുക്കളിൽ മുലയൂട്ടൽ നിരീക്ഷിക്കുന്നു
Planning And Organising Community Based Events At AWC,AWC-യിൽ കമ്മ്യൂണിറ്റി അടിസ്ഥാനമാക്കിയുള്ള ഇവന്റുകൾ ആസൂത്രണം ചെയ്യുകയും സംഘടിപ്പിക്കുകയും ചെയ്യുന്നു
Making or Updating Home Visit Planner and Initiating home visits,ഹോം വിസിറ്റ് പ്ലാനർ ഉണ്ടാക്കുകയോ അപ്‌ഡേറ്റ് ചെയ്യുകയോ ഹോം സന്ദർശനങ്ങൾ ആരംഭിക്കുകയോ ചെയ്യുക
Ensuring that complementary feeding improves over time,പൂരക ഭക്ഷണം കാലക്രമേണ മെച്ചപ്പെടുന്നുവെന്ന് ഉറപ്പാക്കുന്നു
How to ensure timely initiation of complementary feeding,കോംപ്ലിമെന്ററി ഫീഡിംഗ് സമയബന്ധിതമായി ആരംഭിക്കുന്നത് എങ്ങനെ ഉറപ്പാക്കാം
Identifying and preventing Severe Acute Malnutrition,ഗുരുതരമായ പോഷകാഹാരക്കുറവ് തിരിച്ചറിയുകയും തടയുകയും ചെയ്യുക
Identification & Referral of Sick Newborn,അസുഖമുള്ള നവജാതശിശുവിനെ തിരിച്ചറിയലും റഫറലും
Supporting mothers with issues in Breastfeeding,മുലയൂട്ടൽ പ്രശ്നങ്ങളുള്ള അമ്മമാരെ പിന്തുണയ്ക്കുന്നു
Why this Monthly Meeting?,എന്തിനാണ് ഈ പ്രതിമാസ സമ്മേളനം?
❯,❯
Awareness,അവബോധം
ALL ,എല്ലാം 
13,13
 , 
GENERAL ,ജനറൽ 
9,9
 , 
Pregnant Women ,ചെയ്ത ഗർഭിണികൾ 
1,1
 , 
Lactating Mothers ,മുലയൂട്ടുന്ന അമ്മമാർ 
2,2
 , 
CHILD CARE ,ശിശു സംരക്ഷണം 
1,1
 , 
❮,❮
General,General
General Awareness about Home Visit Scheduler,General Awareness about Home Visit Scheduler
Download PDF,PDF ഡൗൺലോഡ് ചെയ്യുക
General,General
General Awareness about Growth Monitoring of Children,കുട്ടികളുടെ വളർച്ചാ നിരീക്ഷണത്തെക്കുറിച്ചുള്ള പൊതുവായ അവബോധം
Download PDF,PDF ഡൗൺലോഡ് ചെയ്യുക
General,General
General Awareness about preventing illness in Children,കുട്ടികളിലെ രോഗങ്ങളെ പ്രതിരോധിക്കുന്നതിനുള്ള പൊതു അവബോധം
Download PDF,PDF ഡൗൺലോഡ് ചെയ്യുക
General,General
General Awareness for Pregnancy,ഗർഭധാരണത്തിനുള്ള പൊതു അവബോധം
Download PDF,PDF ഡൗൺലോഡ് ചെയ്യുക
General,General
General Awareness on Module,മൊഡ്യൂളിനെക്കുറിച്ചുള്ള പൊതുവായ അവബോധം
Download PDF,PDF ഡൗൺലോഡ് ചെയ്യുക
General,General
General Awareness on Anaemia,അനീമിയയെക്കുറിച്ചുള്ള പൊതുവായ അവബോധം
Download PDF,PDF ഡൗൺലോഡ് ചെയ്യുക
General,General
General Awareness on SAM and MAM,"SAM, MAM എന്നിവയെക്കുറിച്ചുള്ള പൊതുവായ അവബോധം"
Download PDF,PDF ഡൗൺലോഡ് ചെയ്യുക
General,General
General Awareness on Mother Care,മദർ കെയറിനെക്കുറിച്ചുള്ള പൊതുവായ അവബോധം
Download PDF,PDF ഡൗൺലോഡ് ചെയ്യുക
General,General
General Awareness on the Delivery of the child,കുട്ടിയുടെ പ്രസവത്തെക്കുറിച്ചുള്ള പൊതു അവബോധം
Download PDF,PDF ഡൗൺലോഡ് ചെയ്യുക
Pregnant Women,ചെയ്ത ഗർഭിണികൾ
Awareness for Pregnancy in Preventing Anemia,അനീമിയ തടയുന്നതിൽ ഗർഭധാരണത്തിനുള്ള ബോധവൽക്കരണം
Download PDF,PDF ഡൗൺലോഡ് ചെയ്യുക
Lactating Mothers,മുലയൂട്ടുന്ന അമ്മമാർ
Awareness for Lactating Mother Complimentary Feeding for Children,മുലയൂട്ടുന്ന അമ്മ കുട്ടികൾക്കുള്ള കോംപ്ലിമെന്ററി ഫീഡിംഗിനായുള്ള ബോധവൽക്കരണം
Download PDF,PDF ഡൗൺലോഡ് ചെയ്യുക
Lactating Mothers,മുലയൂട്ടുന്ന അമ്മമാർ
Awareness to Lactating Mother,മുലയൂട്ടുന്ന അമ്മയ്ക്ക് ബോധവൽക്കരണം
Download PDF,PDF ഡൗൺലോഡ് ചെയ്യുക
Child Care,Child Care
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","കുട്ടികളിലെ പോഷകാഹാരക്കുറവ് തടയാൻ കുട്ടികൾക്കുള്ള ബോധവൽക്കരണം മുരടിപ്പ്, പാഴാക്കൽ"
Download PDF,PDF ഡൗൺലോഡ് ചെയ്യുക
❯,❯
❮,❮
General Awareness about Home Visit Scheduler,General Awareness about Home Visit Scheduler
Download PDF,PDF ഡൗൺലോഡ് ചെയ്യുക
General Awareness about Growth Monitoring of Children,കുട്ടികളുടെ വളർച്ചാ നിരീക്ഷണത്തെക്കുറിച്ചുള്ള പൊതുവായ അവബോധം
