en,as
FAQ,ৰাজ্যিক হেল্পডেস্ক
Poshan Calculator,সঘনাই সোধা প্ৰশ্ন সমূহ
Login,পোষণ কেলকুলেটৰ
Resources,লগইন কৰক
Learning Videos,সমল
❮,শিক্ষণ ভিডিঅ’
How to take care of weak newborn with the help of Kangaroo Mother Care,❮
Preventing illnesses to avert Malnutrition and Death,কেংগাৰু মাডাৰ কেয়াৰৰ সহায়ত কেনেদৰে দূৰ্বল নৱজাতকৰ যতন লব লাগে
Prevention of Anemia in children and adolescents girls,পুষ্টিৰ অভাৱ আৰু মৃত্যুক বাধা দিবলৈ অসুখক বাধা দিয়া
Birth Preparedness- For Institutional and Home Delivery,শিশু আৰু কিশোৰী সকলৰ মাজে এনিমিয়া হোৱাত বাধা দিয়া
Care of the weak newborn baby - How many weak babies are we missing?,জন্মৰ প্ৰস্তুতি - প্ৰতিষ্ঠান মূলক আৰু হোম ডেলিভাৰীৰ বাবে
Feeding During Illness,দূৰ্বল নৱজাতকৰ যত্ন - কিমান দূৰ্বল কেচুৱাক আমি হেৰুৱাই আহিছো?
Preparation During Pregnancy - For NewBorn Care & Family Planning,বেমাৰৰ সময়ত খাদ্য প্ৰদান
Ensuring Exclusive Breastfeeding,গৰ্ভধাৰণৰ সময়ত প্ৰস্তুতি - নৱজাতকৰ যতন আৰু পৰিয়াল পৰিকল্পনাৰ বাবে
Assessment of growth in children,অনন্য স্তন্যপান নিশ্চিত কৰা
Preventing anemia in women,শিশুসকলৰ মাজত বিকাশৰ মূল্যায়ন
Complementary Feeding - Diet Diversity,মহিলাসকলৰ মাজত এনিমিয়াত বাধা দিয়া
Identification and care of a Weak Newborn baby,পৰিপূৰক খাদ্য প্ৰদান - খাদ্যৰ বৈচিত্ৰ্য
Observing Breastfeeding In Newborn Babies,এগৰাকী দূৰ্বল নৱজাতকৰ চিনাক্তকৰণ আৰু যতন
Planning And Organising Community Based Events At AWC,নৱজাতক সকলৰ মাজত স্তন্যপানৰ নিৰীক্ষণ
Making or Updating Home Visit Planner and Initiating home visits,AWC ত কমিউনিটি ভিত্তিক অনুষ্ঠান সমূহ পৰিকল্পনা কৰা আৰু অনুষ্ঠিত কৰা
Ensuring that complementary feeding improves over time,হোম ভিজিটৰ প্লেনাৰ প্ৰস্তুত কৰা বা আপডেট কৰা আৰু হোপ ভিজিটৰ সূচনা কৰা
How to ensure timely initiation of complementary feeding,সুনিশ্চিত কৰা যে পৰিপূৰক খাদ্য প্ৰদান সময়ৰ সৈতে উন্নত হৈছে
Identifying and preventing Severe Acute Malnutrition,পৰিপূৰক খাদ্য প্ৰদানৰ সময়মতে সূচনা কেনেদৰে সুনিশ্চিত কৰিব
Identification & Referral of Sick Newborn,জটিল তীব্ৰ বিষমপুষ্টি চিনাক্ত কৰা আৰু বাধা দিয়া
Supporting mothers with issues in Breastfeeding,ৰুগীয়া নৱজাতকৰ চিনাক্তকৰণ আৰু চিকিৎসাৰ বাবে প্ৰেৰণ
Why this Monthly Meeting?,স্তন্যপানৰ সমস্যাযুক্ত মাতৃসকলক সহায় কৰা
❯,মাহেকীয়া বৈঠক কি?
Awareness,❯
ALL ,সজাগতা
13,সকলো 
 ,13
GENERAL , 
9,সাধাৰণ 
 ,9
Pregnant Women , 
1,প্রেগন্যান্ট ওমেন 
 ,1
Lactating Mothers , 
2,গাখীৰ খুৱাই থকা মাতৃ 
 ,2
CHILD CARE , 
1,শিশুৰ যতন 
 ,1
❮, 
General,❮
General Awareness about Home Visit Scheduler,General
Download PDF,General Awareness about Home Visit Scheduler
General,PDF ডাউনলোড কৰক
General Awareness about Growth Monitoring of Children,General
Download PDF,শিশুসকলৰ বিকাশ পৰ্যবেক্ষণ কৰাৰ বিষয়ে সাধাৰণ সজাগতা
General,PDF ডাউনলোড কৰক
General Awareness about preventing illness in Children,General
Download PDF,শিশুসকলৰ মাজত হোৱা ৰোগক বাধা দিয়াৰ বিষয়ে সাধাৰণ সজাগতা
General,PDF ডাউনলোড কৰক
General Awareness for Pregnancy,General
Download PDF,গৰ্ভধাৰণৰ বাবে সাধাৰণ সজাগতা
General,PDF ডাউনলোড কৰক
General Awareness on Module,General
Download PDF,মডিউলৰ ওপৰত সাধাৰণ সজাগতা
General,PDF ডাউনলোড কৰক
General Awareness on Anaemia,General
Download PDF,এনিমিয়াৰ ওপৰত সাধাৰণ সজাগতা
General,PDF ডাউনলোড কৰক
General Awareness on SAM and MAM,General
Download PDF,SAM আৰু MAM-ৰ ওপৰত সাধাৰণ সজাগতা
General,PDF ডাউনলোড কৰক
General Awareness on Mother Care,General
Download PDF,মাতৃৰ যত্নৰ ওপৰত সাধাৰণ সজাগতা
General,PDF ডাউনলোড কৰক
General Awareness on the Delivery of the child,General
Download PDF,শিশুক জন্ম দিয়াৰ ওপৰত সাধাৰণ সজাগতা
Pregnant Women,PDF ডাউনলোড কৰক
Awareness for Pregnancy in Preventing Anemia,প্রেগন্যান্ট ওমেন
Download PDF,এনিমিয়াক বাধা দিয়াত গৰ্ভধাৰণৰ বাবে সজাগতা
Lactating Mothers,PDF ডাউনলোড কৰক
Awareness for Lactating Mother Complimentary Feeding for Children,গাখীৰ খুৱাই থকা মাতৃ
Download PDF,শিশুসকলৰ বাবে পৰিপূৰক খাদ্য প্ৰদান কৰাত দুগ্ধপান কৰোৱা মাতৃসকলৰ বাবে সজাগতা
Lactating Mothers,PDF ডাউনলোড কৰক
Awareness to Lactating Mother,গাখীৰ খুৱাই থকা মাতৃ
Download PDF,দুগ্ধপান কৰোৱা মাতৃসকলৰ বাবে সজাগতা
Child Care,PDF ডাউনলোড কৰক
"Awareness for Children Stunting, Wasting to prevent malnutrition in children",Child Care
Download PDF,"শিশুসকলৰ মাজত শিশু বাওনা হোৱা, বিষমপপুষ্টিক বাধা দিবলৈ পুষ্টিহীনতাৰ বাবে সজাগতা"
❯,PDF ডাউনলোড কৰক
❮,❯
General Awareness about Home Visit Scheduler,❮
Download PDF,General Awareness about Home Visit Scheduler
General Awareness about Growth Monitoring of Children,PDF ডাউনলোড কৰক
Download PDF,শিশুসকলৰ বিকাশ পৰ্যবেক্ষণ কৰাৰ বিষয়ে সাধাৰণ সজাগতা
General Awareness about preventing illness in Children,PDF ডাউনলোড কৰক
Download PDF,শিশুসকলৰ মাজত হোৱা ৰোগক বাধা দিয়াৰ বিষয়ে সাধাৰণ সজাগতা
General Awareness for Pregnancy,PDF ডাউনলোড কৰক
Download PDF,গৰ্ভধাৰণৰ বাবে সাধাৰণ সজাগতা
General Awareness on Module,PDF ডাউনলোড কৰক
Download PDF,মডিউলৰ ওপৰত সাধাৰণ সজাগতা
General Awareness on Anaemia,PDF ডাউনলোড কৰক
Download PDF,এনিমিয়াৰ ওপৰত সাধাৰণ সজাগতা
General Awareness on SAM and MAM,PDF ডাউনলোড কৰক
Download PDF,SAM আৰু MAM-ৰ ওপৰত সাধাৰণ সজাগতা
General Awareness on Mother Care,PDF ডাউনলোড কৰক
Download PDF,মাতৃৰ যত্নৰ ওপৰত সাধাৰণ সজাগতা
General Awareness on the Delivery of the child,PDF ডাউনলোড কৰক
Download PDF,শিশুক জন্ম দিয়াৰ ওপৰত সাধাৰণ সজাগতা
❯,PDF ডাউনলোড কৰক
❮,❯
Awareness for Pregnancy in Preventing Anemia,❮
Download PDF,এনিমিয়াক বাধা দিয়াত গৰ্ভধাৰণৰ বাবে সজাগতা
❯,PDF ডাউনলোড কৰক
❮,❯
Awareness for Lactating Mother Complimentary Feeding for Children,❮
Download PDF,শিশুসকলৰ বাবে পৰিপূৰক খাদ্য প্ৰদান কৰাত দুগ্ধপান কৰোৱা মাতৃসকলৰ বাবে সজাগতা
Awareness to Lactating Mother,PDF ডাউনলোড কৰক
Download PDF,দুগ্ধপান কৰোৱা মাতৃসকলৰ বাবে সজাগতা
❯,PDF ডাউনলোড কৰক
❮,❯
"Awareness for Children Stunting, Wasting to prevent malnutrition in children",❮
Download PDF,"শিশুসকলৰ মাজত শিশু বাওনা হোৱা, বিষমপপুষ্টিক বাধা দিবলৈ পুষ্টিহীনতাৰ বাবে সজাগতা"
❯,PDF ডাউনলোড কৰক
Growth Monitoring Assessment Charts,❯
Stunted Assessment Parameters,বিকাশ নিৰীক্ষণকাৰী মূল্যায়নৰ তালিকা
Download PDF,বাঢ়িব নোৱাৰা মূল্যায়নৰ পেৰামিটাৰ
Wasted Assessment Parameters,PDF ডাউনলোড কৰক
Download PDF,পুষ্টিহীনতাৰ মূল্যায়নৰ পেৰামিটাৰ
Underweight Assessment Parameters,PDF ডাউনলোড কৰক
Download PDF,কম ওজন মূল্যায়নৰ পেৰামিটাৰ
Manuals,PDF ডাউনলোড কৰক
Poshan Tracker Process Flow,মেনুৱেলসমূহ
Download PDF,পোচন ট্ৰেকাৰ প্ৰক্ৰিয়া প্ৰবাহ
Circulars/Notifications,PDF ডাউনলোড কৰক
03 June,চাৰ্কুলাৰ/ জাননী
2021,03 June
Clarification regarding Cost of Smart phones,2021
Download PDF,স্মাৰ্ট ফোন সমূহৰ খৰছৰ সন্দৰ্ভত স্পষ্টীকৰণ
24 May,PDF ডাউনলোড কৰক
2021,24 May
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,2021
