en,ur
Child Care,Child Care
"Awareness for Children Stunting, Wasting to prevent malnutrition in children",بچوں میں غذائیت کی کمی کو روکنے کے لیے بچوں کو سٹنٹنگ، ضائع کرنے کے لیے آگاہی
Download PDF,پی ڈی ایف ڈاؤن لوڈ کریں
General Awareness about Home Visit Scheduler,General Awareness about Home Visit Scheduler
Download PDF,پی ڈی ایف ڈاؤن لوڈ کریں
General Awareness about Growth Monitoring of Children,بچوں کی گروتھ مانیٹرنگ کے بارے میں عمومی آگاہی
Download PDF,پی ڈی ایف ڈاؤن لوڈ کریں
General Awareness about preventing illness in Children,بچوں میں بیماری سے بچاؤ کے بارے میں عمومی آگاہی
Download PDF,پی ڈی ایف ڈاؤن لوڈ کریں
General Awareness for Pregnancy,حمل کے لیے عمومی آگاہی
Download PDF,پی ڈی ایف ڈاؤن لوڈ کریں
General Awareness on Module,ماڈیول پر عمومی آگاہی
Download PDF,پی ڈی ایف ڈاؤن لوڈ کریں
General Awareness on Anaemia,خون کی کمی پر عمومی آگاہی
Download PDF,پی ڈی ایف ڈاؤن لوڈ کریں
General Awareness on SAM and MAM,SAM اور MAM پر عمومی آگاہی
Download PDF,پی ڈی ایف ڈاؤن لوڈ کریں
General Awareness on Mother Care,ماں کی دیکھ بھال کے بارے میں عمومی آگاہی
Download PDF,پی ڈی ایف ڈاؤن لوڈ کریں
General Awareness on the Delivery of the child,بچے کی ترسیل کے بارے میں عمومی آگاہی
Download PDF,پی ڈی ایف ڈاؤن لوڈ کریں
Awareness for Pregnancy in Preventing Anemia,خون کی کمی کی روک تھام میں حمل کے لیے آگاہی
Download PDF,پی ڈی ایف ڈاؤن لوڈ کریں
Awareness for Lactating Mother Complimentary Feeding for Children,دودھ پلانے والی ماں بچوں کے لیے مفت خوراک کے لیے آگاہی
Download PDF,پی ڈی ایف ڈاؤن لوڈ کریں
Awareness to Lactating Mother,دودھ پلانے والی ماں کے لیے آگاہی
Download PDF,پی ڈی ایف ڈاؤن لوڈ کریں
"Awareness for Children Stunting, Wasting to prevent malnutrition in children",بچوں میں غذائیت کی کمی کو روکنے کے لیے بچوں کو سٹنٹنگ، ضائع کرنے کے لیے آگاہی
Download PDF,پی ڈی ایف ڈاؤن لوڈ کریں
Growth Monitoring Assessment Charts,گروتھ مانیٹرنگ اسسمنٹ چارٹس
Stunted Assessment Parameters,چھوٹے قد کا تشخیصی پیرامیٹر
Download PDF,پی ڈی ایف ڈاؤن لوڈ کریں
Wasted Assessment Parameters,ضائع شدہ تشخیص کے پیرامیٹرز
Download PDF,پی ڈی ایف ڈاؤن لوڈ کریں
Underweight Assessment Parameters,کم وزن کی تشخیص کے پیرامیٹرز
Download PDF,پی ڈی ایف ڈاؤن لوڈ کریں
Manuals,دستورالعمل
Poshan Tracker Process Flow,پوشن ٹریکر عملی بہاؤ
Download PDF,پی ڈی ایف ڈاؤن لوڈ کریں
Circulars/Notifications,سرکلر/اطلاعات
03 June,تین جون
Clarification regarding Cost of Smart phones,سمارٹ فون کی قیمت کے بارے میں وضاحت
Download PDF,پی ڈی ایف ڈاؤن لوڈ کریں
24 May,چوبیس مئی
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,پوشن ٹریکر میں آنگن واڑی خدمات کی اسکیموں کا ڈیٹا اپ لوڈ کرنا
Download PDF,پی ڈی ایف ڈاؤن لوڈ کریں
01 March,ایک مارچ
Data Plan for Mobile Application,موبائل ایپلیکیشن کے لیے ڈیٹا پلان
Download PDF,پی ڈی ایف ڈاؤن لوڈ کریں
02 February,دو فروری
Specifications of Smart phone and Technical Compatibility Testing,سمارٹ فون اور تکنیکی مطابقت کی جانچ کی تفصیلات
Download PDF,پی ڈی ایف ڈاؤن لوڈ کریں
02 February,دو فروری
Training on ICT Platform under POSHAN Abhiyaan,غذائیت مہم کے تحت یکات پلیٹ فارم پر تربیت
Download PDF,پی ڈی ایف ڈاؤن لوڈ کریں
02 February,دو فروری
New Poshan Tracker App - CSC-SPV Nodal Person,نئی پوشن ٹریکر ایپ - CSC-SPV نوڈل پرسن
Download PDF,پی ڈی ایف ڈاؤن لوڈ کریں
13 January,تیرہ جنوری
New Poshan Tracker App,نئی پوشن ٹریکر ایپ
Download PDF,پی ڈی ایف ڈاؤن لوڈ کریں
Support,حمایت
support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,موبائل ایپ ڈاؤن لوڈ کریں۔
Powered By,Powered By
About,کے بارے میں
Resources,ذرائع وسائل
Dashboard,ڈیش بورڈ
Helpdesk,ہیلپ ڈیسک
FAQ,عمومی سوالات
Poshan Calculator,پوشن کیلکولیٹر
Terms of Service,خدمت کی شرائط۔
Privacy Policy,رازداری کی پالیسی
Careers,کیریئرز
Copyright@2023  Poshan Tracker. All rights reserved,کاپی رائٹ@2023  پوشن ٹریکر. جملہ حقوق محفوظ ہیں
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (صحت کا شناختی کارڈ)
Language,زبان
About,کے بارے میں
Resources,ذرائع وسائل
Resources,ذرائع وسائل
Vaccination Schedule,ویکسینیشن شیڈول
Dashboard,ڈیش بورڈ
Dashboard,ڈیش بورڈ
Mission Utkarsh,Mission Utkarsh
Helpdesk,ہیلپ ڈیسک
Beneficiary Redressal,فائدہ اٹھانے والے کا ازالہ
State Helpdesk,اسٹیٹ ہیلپ ڈیسک
FAQ,عمومی سوالات
Poshan Calculator,پوشن کیلکولیٹر
Login,لاگ ان کریں
Vaccination Schedule,ویکسینیشن شیڈول
Birth,پیدائش
Bacillus Calmette Guerin (BCG),بیسیلس کالمیٹ گورین (بی سی جی)
Oral Polio Vaccine (OPV)-0 dose ,اورل پولیو ویکسین (OPV)-0 خوراک 
Hepatitis B birth dose OPV-1 T,ہیپاٹائٹس بی پیدائشی خوراک OPV-1 T
Weeks,ہفتے
OPV-1,OPV-1
Pentavalent-1,پینٹا ویلنٹ -1
Rotavirus Vaccine (RVV)-1,روٹا وائرس ویکسین (RVV)-1
Fractional dose of Inactivated Polio Vaccine (fIPV)-1,غیر فعال پولیو ویکسین (fIPV)-1 کی جزوی خوراک
Pneumococcal Conjugate Vaccine (PCV) -1,نیوموکوکل کنجوگیٹ ویکسین (PCV) -1
10 ,10 
Weeks,ہفتے
OPV-2,OPV-2
Pentavalent-2,پینٹا ویلنٹ -2
RVV-2,RVV-2
Weeks,ہفتے
OPV-3,OPV-3
Pentavalent-3,پینٹا ویلنٹ -3
fIPV-2T,fIPV-2T
RVV-3,RVV-3
PCV-2,PCV-2
Months,مہینے
Measles Containing vaccine (MCV)/Measles & Rubella (MR)-1,خسرہ پر مشتمل ویکسین (MCV)/خسرہ اور روبیلا (MR)-1
Japanese Encephalitis(JE)-1**,جاپانی انسیفلائٹس (JE)-1**
PCV-Booster,PCV-بوسٹر
Months,مہینے
Measles Containing vaccine (MCV)/MR-2,خسرہ پر مشتمل ویکسین (MCV)/MR-2
JE-2**,JE-2**
Diphtheria,خناق
Pertussis & Tetanus (DPT)-Booster-1,پرٹیوسس اور ٹیٹنس (DPT) -بوسٹر-1
OPV –Booster,OPV -بوسٹر
Years,سال
DPT-Booster-2,DPT-بوسٹر-2
Pregnant Women,حاملہ خواتین
"Td1, 2 or Td Booster***",Td1، 2 یا Td بوسٹر ***
Support,حمایت
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,موبائل ایپ ڈاؤن لوڈ کریں۔
Powered By,Powered By
About,کے بارے میں
Resources,ذرائع وسائل
Dashboard,ڈیش بورڈ
Helpdesk,ہیلپ ڈیسک
FAQ,عمومی سوالات
Poshan Calculator,پوشن کیلکولیٹر
Terms of Service,خدمت کی شرائط۔
Privacy Policy,رازداری کی پالیسی
Careers,کیریئرز
Copyright@2023  Poshan Tracker. All rights reserved,کاپی رائٹ@2023  پوشن ٹریکر. جملہ حقوق محفوظ ہیں
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (صحت کا شناختی کارڈ)
Language,زبان
About,کے بارے میں
Resources,ذرائع وسائل
Resources,ذرائع وسائل
Vaccination Schedule,ویکسینیشن شیڈول
Dashboard,ڈیش بورڈ
Dashboard,ڈیش بورڈ
Mission Utkarsh,Mission Utkarsh
Helpdesk,ہیلپ ڈیسک
Beneficiary Redressal,فائدہ اٹھانے والے کا ازالہ
State Helpdesk,اسٹیٹ ہیلپ ڈیسک
FAQ,عمومی سوالات
Poshan Calculator,پوشن کیلکولیٹر
Login,لاگ ان کریں
India,India
Select State,ریاست منتخب کریں
Select District,ضلع منتخب کریں
Last Updated On : 18/04/2023,Last Updated On : 18/04/2023
General Information,General Information
*State level aggregated data as received from States,*State level aggregated data as received from States
Owned Building,Owned Building
AWC Infrastructure,AWC Infrastructure
Functional Toilet,Functional Toilet
AWC Infrastructure,AWC Infrastructure
Drinking Water Source,Drinking Water Source
AWC Infrastructure,AWC Infrastructure
Anganwadi Center Details,Anganwadi Center Details
Report for Mar 2023,Report for Mar 2023
Eligible Beneficiaries,Eligible Beneficiaries
As on 31st Mar 2023,As on 31st Mar 2023
Aspirational Districts & North East Region,Aspirational Districts & North East Region
Adolescent Girls,Adolescent Girls
Total,Total
Aadhaar Verified,Aadhaar Verified
Adolescent Girls,Adolescent Girls
Take Home Ration (THR),Take Home Ration (THR)
Given For Atleast 21 Days,Given For Atleast 21 Days
Key Services,Key Services
Report for Mar 2023,Report for Mar 2023
* Data on dashboard is provisional and subject to reconciliation of offline data sync from Poshan Tracker Mobile App,* Data on dashboard is provisional and subject to reconciliation of offline data sync from Poshan Tracker Mobile App
Support,حمایت
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,موبائل ایپ ڈاؤن لوڈ کریں۔
Powered By,Powered By
About,کے بارے میں
Resources,ذرائع وسائل
Dashboard,ڈیش بورڈ
Helpdesk,ہیلپ ڈیسک
FAQ,عمومی سوالات
Poshan Calculator,پوشن کیلکولیٹر
Terms of Service,خدمت کی شرائط۔
Privacy Policy,رازداری کی پالیسی
Careers,کیریئرز
Copyright@2023  Poshan Tracker. All rights reserved,کاپی رائٹ@2023  پوشن ٹریکر. جملہ حقوق محفوظ ہیں
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (صحت کا شناختی کارڈ)
Language,زبان
About,کے بارے میں
Resources,ذرائع وسائل
Resources,ذرائع وسائل
Vaccination Schedule,ویکسینیشن شیڈول
Dashboard,ڈیش بورڈ
Dashboard,ڈیش بورڈ
Mission Utkarsh,Mission Utkarsh
Helpdesk,ہیلپ ڈیسک
Beneficiary Redressal,فائدہ اٹھانے والے کا ازالہ
State Helpdesk,اسٹیٹ ہیلپ ڈیسک
FAQ,عمومی سوالات
Poshan Calculator,پوشن کیلکولیٹر
Login,لاگ ان کریں
Login to your account,اپنے اکاؤنٹ میں لاگ ان کریں
User Name ,صارف نام 
Password ,پاس ورڈ 
Login,لاگ ان کریں
Support,حمایت
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,موبائل ایپ ڈاؤن لوڈ کریں۔
Powered By,Powered By
About,کے بارے میں
Resources,ذرائع وسائل
Dashboard,ڈیش بورڈ
Helpdesk,ہیلپ ڈیسک
FAQ,عمومی سوالات
Poshan Calculator,پوشن کیلکولیٹر
Terms of Service,خدمت کی شرائط۔
Privacy Policy,رازداری کی پالیسی
Careers,کیریئرز
Copyright@2023  Poshan Tracker. All rights reserved,کاپی رائٹ@2023  پوشن ٹریکر. جملہ حقوق محفوظ ہیں
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (صحت کا شناختی کارڈ)
Language,زبان
اردو,اردو
کٲشُر,کٲشُر
About,کے بارے میں
Resources,ذرائع وسائل
Resources,ذرائع وسائل
