en,mai
General Awareness on the Delivery of the child,बच्चाक डिलीवरी पर सामान्य जागरूकता
Download PDF,PDF डाउनलोड करू
❯,❯
❮,❮
Awareness for Pregnancy in Preventing Anemia,एनीमियाकेँ रोकबाक मे गर्भावस्थाक लेल जागरूकता
Download PDF,PDF डाउनलोड करू
❯,❯
❮,❮
Awareness for Lactating Mother Complimentary Feeding for Children,बच्चासभक लेल स्तनपान कराय बाली मायक पूरक आहारक लेल जागरूकता
Download PDF,PDF डाउनलोड करू
Awareness to Lactating Mother,स्तनपान कराय बाली मायक प्रति जागरूकता
Download PDF,PDF डाउनलोड करू
❯,❯
❮,❮
"Awareness for Children Stunting, Wasting to prevent malnutrition in children","बच्चासभमे कुपोषणकेँ रोकबाक लेल स्टंटिंग, वेस्टिंगक प्रति जागरुकता"
Download PDF,PDF डाउनलोड करू
❯,❯
Growth Monitoring Assessment Charts,विकास निगरानी आकलन चार्ट
Stunted Assessment Parameters,छोट कदक मूल्यांकन पैरामीटर
Download PDF,PDF डाउनलोड करू
Wasted Assessment Parameters,व्यर्थ मूल्यांकन पैरामीटर
Download PDF,PDF डाउनलोड करू
Underweight Assessment Parameters,कम वजन बला मूल्यांकन पैरामीटर
Download PDF,PDF डाउनलोड करू
Manuals,नियमावली
Poshan Tracker Process Flow,पोषण ट्रैकर प्रक्रिया प्रवाह
Download PDF,PDF डाउनलोड करू
Circulars/Notifications,परिपत्र/सूचनासभ
03 June,03 June
2021,2021
Clarification regarding Cost of Smart phones,स्मार्ट फोनक कीमतक संबंधमे स्पष्टीकरण
Download PDF,PDF डाउनलोड करू
24 May,24 May
2021,2021
Uploading of Data of Anganwadi Services Schemes in Poshan Tracker,पोषण ट्रैकर (खोज)मे आंगनवाड़ी सेवा योजनासभक डेटा अपलोड करनाइ
Download PDF,PDF डाउनलोड करू
01 March,01 March
2021,2021
Data Plan for Mobile Application,मोबाइल एप्लीकेशनक लेल डेटा योजना
Download PDF,PDF डाउनलोड करू
02 February,02 February
2021,2021
Specifications of Smart phone and Technical Compatibility Testing,स्मार्ट फोन आ तकनीकी संगतता परीक्षणक विनिर्देश
Download PDF,PDF डाउनलोड करू
02 February,02 February
2021,2021
Training on ICT Platform under POSHAN Abhiyaan,पोषण अभियानक तहत आईसीटी मंच पर प्रशिक्षण
Download PDF,PDF डाउनलोड करू
02 February,02 February
2021,2021
New Poshan Tracker App - CSC-SPV Nodal Person,नव पोषण ट्रैकर ऐप - सीएससी-एसपीवी नोडल लोक
Download PDF,PDF डाउनलोड करू
13 January,13 January
2021,2021
New Poshan Tracker App,नव् पोषन ट्रैकर ऐप
Download PDF,PDF डाउनलोड करू
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
×,×
Support,मदति
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,मोबाइल ऐप डाउनलोड करू
Powered By,Powered By
About,लगभग
Resources,साधन
Dashboard,डैशबोर्ड
Helpdesk,हेल्पडेस्क
FAQ,सदिखन पूछल जाय बला प्रश्न
